"","measure_name","location_name","sex_name","cause_name","year","val","upper","lower"
"1","Deaths","Global","Both","HIV/AIDS resulting in other diseases",1990,216909.111672564,308682.104340972,162891.54989347
"2","Deaths","Global","Both","Diarrheal diseases",1990,2896268.45241782,3644587.38742662,2222662.86243889
"3","Deaths","Global","Both","Typhoid fever",1990,182550.010721171,318255.474791939,89015.2578589184
"4","Deaths","Global","Both","Paratyphoid fever",1990,33675.524603281,69047.4841582984,14146.1214663477
"5","Deaths","Global","Both","Other intestinal infectious diseases",1990,3730.96605895802,4849.53093988474,2770.07120386775
"6","Deaths","Global","Both","Lower respiratory infections",1990,3320007.67058082,3715056.99674757,3018493.37699388
"7","Deaths","Global","Both","Upper respiratory infections",1990,34403.5284809515,68309.4448149267,7130.00720949434
"8","Deaths","Global","Both","Otitis media",1990,3139.966340015,5112.88160541441,1736.68156874311
"9","Deaths","Global","Both","Meningitis",1990,432523.840724402,494074.065761886,376418.857695246
"10","Deaths","Global","Both","Encephalitis",1990,117804.399483907,138249.8387832,95315.371423794
"11","Deaths","Global","Both","Diphtheria",1990,18771.949810155,26080.4964477266,13745.250502361
"12","Deaths","Global","Both","Whooping cough",1990,256638.116946741,516721.793497397,105977.721859287
"13","Deaths","Global","Both","Tetanus",1990,275379.383713963,322379.562428341,240545.331822966
"14","Deaths","Global","Both","Measles",1990,801683.031079184,1666352.3362938,277674.856218107
"15","Deaths","Global","Both","Varicella and herpes zoster",1990,17707.8012347646,19864.1575516777,15795.4486161137
"16","Deaths","Global","Both","Rheumatic heart disease",1990,362160.149181218,408222.067250462,326259.095760039
"17","Deaths","Global","Both","Ischemic heart disease",1990,5695890.10589351,5895398.089966,5405191.10598292
"18","Deaths","Global","Both","Ischemic stroke",1990,2049670.52493914,2234214.42913087,1900018.81902922
"19","Deaths","Global","Both","Intracerebral hemorrhage",1990,2099760.67884019,2328410.7315079,1932531.31641005
"20","Deaths","Global","Both","Larynx cancer",1990,87458.5622135714,91550.9233154795,83181.6435646163
"21","Deaths","Global","Both","Tracheal, bronchus, and lung cancer",1990,1065138.98520149,1117181.48360635,1019216.81048441
"22","Deaths","Global","Both","Breast cancer",1990,380905.198029279,396713.690065743,364814.62182934
"23","Deaths","Global","Both","Cervical cancer",1990,184527.078315496,218942.09862554,164835.84621896
"24","Deaths","Global","Both","Uterine cancer",1990,56129.9593164673,60198.5002085885,51103.8915013681
"25","Deaths","Global","Both","Prostate cancer",1990,232998.887355673,268882.266812899,191397.706284258
"26","Deaths","Global","Both","Colon and rectum cancer",1990,518126.115374653,537876.507143129,493682.289697752
"27","Deaths","Global","Both","Lip and oral cavity cancer",1990,96627.5270270951,103050.06545758,90592.2805722015
"28","Deaths","Global","Both","Nasopharynx cancer",1990,53458.8118360925,57905.8527440211,48874.7799874177
"29","Deaths","Global","Both","Other pharynx cancer",1990,51459.5861210418,56456.7871511242,47973.606133769
"30","Deaths","Global","Both","Gallbladder and biliary tract cancer",1990,94855.0640329401,107240.345861664,85139.1725404707
"31","Deaths","Global","Both","Pancreatic cancer",1990,198050.911376141,204762.560103669,189328.90008673
"32","Deaths","Global","Both","Malignant skin melanoma",1990,33082.9620488157,43093.7857135287,27827.1167496918
"33","Deaths","Global","Both","Ovarian cancer",1990,97363.2986274654,109760.791488501,89702.9389951899
"34","Deaths","Global","Both","Subarachnoid hemorrhage",1990,424653.597763672,510969.941707841,297775.725077929
"35","Deaths","Global","Both","Hypertensive heart disease",1990,654905.643350138,732728.986866097,530566.284596881
"36","Deaths","Global","Both","Atrial fibrillation and flutter",1990,117037.993852387,138452.306914325,103695.267625713
"37","Deaths","Global","Both","Aortic aneurysm",1990,94698.3724471582,102684.783888544,87008.8844806606
"38","Deaths","Global","Both","Peripheral artery disease",1990,30168.4604907488,52436.2098724723,16181.0086659902
"39","Deaths","Global","Both","Endocarditis",1990,28754.3956977873,35698.1658314943,24370.4165233893
"40","Deaths","Global","Both","Chronic obstructive pulmonary disease",1990,2520219.24803122,2719387.90703194,2118058.8495852
"41","Deaths","Global","Both","Congenital heart anomalies",1990,378247.205634394,562553.141981225,267952.594211737
"42","Deaths","Global","Both","Orofacial clefts",1990,11777.9854331189,16983.6349401421,6960.89005275122
"43","Deaths","Global","Both","Down syndrome",1990,25383.1321337195,52826.7720110712,16895.5353981231
"44","Deaths","Global","Both","Other chromosomal abnormalities",1990,17975.7668878629,51956.7277556348,9690.35307553411
"45","Deaths","Global","Both","Congenital musculoskeletal and limb anomalies",1990,14689.5369821859,25010.4714006254,8806.51960720502
"46","Deaths","Global","Both","Urogenital congenital anomalies",1990,14758.9207428578,23388.21329085,8697.63578966873
"47","Deaths","Global","Both","Digestive congenital anomalies",1990,78821.7716873849,158410.791125084,36604.0302718126
"48","Deaths","Global","Both","Testicular cancer",1990,7224.17342926625,7905.95243510937,6792.19314063506
"49","Deaths","Global","Both","Kidney cancer",1990,72099.9061974187,74673.6114078355,68876.2456726252
"50","Deaths","Global","Both","Bladder cancer",1990,121499.531563491,127170.94235079,114751.364534018
"51","Deaths","Global","Both","Brain and central nervous system cancer",1990,139632.31051802,182291.073966688,119904.909321121
"52","Deaths","Global","Both","Thyroid cancer",1990,22966.3777972368,25227.7016954477,21553.7562205285
"53","Deaths","Global","Both","Mesothelioma",1990,15385.4206880643,17017.0923922486,13815.0025460604
"54","Deaths","Global","Both","Hodgkin lymphoma",1990,27602.095423623,30234.9645363363,21663.3900142757
"55","Deaths","Global","Both","Non-Hodgkin lymphoma",1990,126082.152559916,131976.192766445,119768.266976512
"56","Deaths","Global","Both","Multiple myeloma",1990,51862.2911139214,58979.9125197184,47709.8875481012
"57","Deaths","Global","Both","Chronic kidney disease due to glomerulonephritis",1990,91662.0290022945,111246.94717759,75481.9334541043
"58","Deaths","Global","Both","Chronic kidney disease due to other and unspecified causes",1990,145508.89855315,176315.02802424,119053.386282639
"59","Deaths","Global","Both","Urinary tract infections and interstitial nephritis",1990,98586.950627601,106321.40691729,89025.7125449927
"60","Deaths","Global","Both","Urolithiasis",1990,11338.0256201801,13777.4994622611,7277.58819293658
"61","Deaths","Global","Both","Other urinary diseases",1990,23815.6550582433,27741.5216723845,18478.5535930858
"62","Deaths","Global","Both","Uterine fibroids",1990,4187.24028037808,6200.20664064253,2011.64007027509
"63","Deaths","Global","Both","Endometriosis",1990,155.109830444965,245.140937955862,84.2397892845431
"64","Deaths","Global","Both","Genital prolapse",1990,1304.3078328228,2331.36783406935,626.876145521728
"65","Deaths","Global","Both","Other gynecological diseases",1990,1643.29226470384,2511.68379511842,956.047868162324
"66","Deaths","Global","Both","Other congenital birth defects",1990,206032.460291448,401525.209295589,101064.224183278
"67","Deaths","Global","Both","Cellulitis",1990,8305.07351609161,12216.0108571344,5410.4416279593
"68","Deaths","Global","Both","Pyoderma",1990,26184.5186074163,32519.3315085181,18196.5071673752
"69","Deaths","Global","Both","Decubitus ulcer",1990,12603.1639248787,17969.6196724868,8975.74474655008
"70","Deaths","Global","Both","Other skin and subcutaneous diseases",1990,2188.79068812844,3504.5085315217,1705.89278098783
"71","Deaths","Global","Both","Sudden infant death syndrome",1990,55994.9604562407,125639.238801241,22421.575902603
"72","Deaths","Global","Both","Pedestrian road injuries",1990,498190.282815866,568889.014537442,432153.797019365
"73","Deaths","Global","Both","Cyclist road injuries",1990,44907.5317200834,58108.1086570395,37523.8470796672
"74","Deaths","Global","Both","Motorcyclist road injuries",1990,159874.199705785,194169.203075055,137829.140255521
"75","Deaths","Global","Both","Motor vehicle road injuries",1990,399987.010022286,452262.653182006,349878.476030664
"76","Deaths","Global","Both","Other road injuries",1990,10452.2381217629,13026.0974137879,9007.68554695381
"77","Deaths","Global","Both","Thalassemias",1990,16671.2370152101,21269.494552851,12200.298436219
"78","Deaths","Global","Both","Sickle cell disorders",1990,35404.1332976709,51105.3384188848,22547.7769689773
"79","Deaths","Global","Both","G6PD deficiency",1990,7307.60570684693,9177.30100887721,5771.21366462677
"80","Deaths","Global","Both","Other hemoglobinopathies and hemolytic anemias",1990,22013.5935875724,25727.3073618679,19877.6400995801
"81","Deaths","Global","Both","Endocrine, metabolic, blood, and immune disorders",1990,77687.3340735067,90125.3134473285,65203.6899948102
"82","Deaths","Global","Both","Rheumatoid arthritis",1990,22191.7167302657,27197.540951954,17533.6239463563
"83","Deaths","Global","Both","Other musculoskeletal disorders",1990,32222.227333454,39563.1229281581,25526.3730504253
"84","Deaths","Global","Both","Neural tube defects",1990,164256.033224431,263467.91890529,116632.462045497
"85","Deaths","Global","Both","Myocarditis",1990,19618.0965968574,26772.2500066888,15685.5331803746
"86","Deaths","Global","Both","Other leukemia",1990,121213.92046464,142960.121015064,91371.6769405717
"87","Deaths","Global","Both","Other cardiomyopathy",1990,164760.608101736,178814.266494358,133866.587821253
"88","Deaths","Global","Both","Conflict and terrorism",1990,116364.081725879,127161.022727717,107642.675855395
"89","Deaths","Global","Both","Multidrug-resistant tuberculosis without extensive drug resistance",1990,16755.3439561587,39450.6857998073,5767.11832577769
"90","Deaths","Global","Both","Other nutritional deficiencies",1990,100838.827344203,151025.153065043,54507.2523496443
"91","Deaths","Global","Both","Syphilis",1990,100450.818265996,210456.182165679,34478.6093046325
"92","Deaths","Global","Both","Chlamydial infection",1990,903.076234818027,1033.36316052853,656.392360688606
"93","Deaths","Global","Both","Gonococcal infection",1990,2809.65265744667,3177.54046081496,2082.66232412605
"94","Deaths","Global","Both","Other sexually transmitted infections",1990,2361.25311904328,2689.25461614782,1724.75109744388
"95","Deaths","Global","Both","Acute hepatitis A",1990,107923.263390955,133254.08819445,82494.386414834
"96","Deaths","Global","Both","Acute hepatitis B",1990,44502.288446095,66236.2478871414,26956.4816578458
"97","Deaths","Global","Both","Acute hepatitis C",1990,11169.4304298124,19163.8449301964,6003.87478085302
"98","Deaths","Global","Both","Acute hepatitis E",1990,2809.80059685082,4434.42260853429,1467.06007599294
"99","Deaths","Global","Both","Other unspecified infectious diseases",1990,64857.9721855206,76942.7310557232,41755.0095899641
"100","Deaths","Global","Both","Alcohol use disorders",1990,116434.628881135,121334.960247428,107409.468656466
"101","Deaths","Global","Both","Opioid use disorders",1990,36821.2832696054,39305.6170585836,34105.303938724
"102","Deaths","Global","Both","Cocaine use disorders",1990,2355.0996584497,2953.47236551247,2173.64850927317
"103","Deaths","Global","Both","Amphetamine use disorders",1990,6612.66433019255,9652.15698921243,5638.89358988716
"104","Deaths","Global","Both","Other drug use disorders",1990,10355.3134553842,11532.0337294801,8823.46166135104
"105","Deaths","Global","Both","Anorexia nervosa",1990,164.255568875932,192.272687720711,149.562323728382
"106","Deaths","Global","Both","Bulimia nervosa",1990,13.8464615640677,28.0495446841738,9.19340044561406
"107","Deaths","Global","Both","Acute glomerulonephritis",1990,15735.0890190171,18501.3115225318,13463.6195124157
"108","Deaths","Global","Both","Chronic kidney disease due to hypertension",1990,171877.895579975,201264.420945645,146475.236127004
"109","Deaths","Global","Both","Self-harm by firearm",1990,51240.8159407165,58166.8932133904,45944.4088676805
"110","Deaths","Global","Both","Self-harm by other specified means",1990,687846.670034658,736355.611622742,607609.712823606
"111","Deaths","Global","Both","Physical violence by firearm",1990,128974.23297475,134769.247454032,124143.371621344
"112","Deaths","Global","Both","Extensively drug-resistant tuberculosis",1990,0,0,0
"113","Deaths","Global","Both","HIV/AIDS - Drug-susceptible Tuberculosis",1990,118809.658207276,157509.479438768,88968.8818904494
"114","Deaths","Global","Both","HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance",1990,667.840961009476,1398.13064651022,252.373278840266
"115","Deaths","Global","Both","HIV/AIDS - Extensively drug-resistant Tuberculosis",1990,0,0,0
"116","Deaths","Global","Both","Invasive Non-typhoidal Salmonella (iNTS)",1990,50550.4525234104,80465.2415908866,28068.1335486854
"117","Deaths","Global","Both","Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",1990,22703.9174801,32071.9715261782,19009.5665408276
"118","Deaths","Global","Both","Non-rheumatic calcific aortic valve disease",1990,53297.6887014213,59731.296287975,47759.6230938642
"119","Deaths","Global","Both","Non-rheumatic degenerative mitral valve disease",1990,22270.0946682143,25801.8952455233,18768.659678203
"120","Deaths","Global","Both","Other non-rheumatic valve diseases",1990,2364.40272521988,2844.55091646725,1721.86975741948
"121","Deaths","Global","Both","Cirrhosis and other chronic liver diseases due to NAFLD",1990,75957.3242806449,101590.708973158,54215.1181564396
"122","Deaths","Global","Both","Cirrhosis and other chronic liver diseases due to hepatitis C",1990,245022.65938256,282509.86910412,208652.875795445
"123","Deaths","Global","Both","Cirrhosis and other chronic liver diseases due to alcohol use",1990,232949.27183537,273817.385166961,197746.098932404
"124","Deaths","Global","Both","Cirrhosis and other chronic liver diseases due to other causes",1990,169363.159396744,206849.158832103,137356.495319779
"125","Deaths","Global","Both","Peptic ulcer disease",1990,278978.505518517,301112.104778908,259455.394428031
"126","Deaths","Global","Both","Gastritis and duodenitis",1990,31505.7698241301,40276.4808774469,24918.6143520699
"127","Deaths","Global","Both","Appendicitis",1990,42770.2223193922,53168.2694551692,31840.3719281463
"128","Deaths","Global","Both","Paralytic ileus and intestinal obstruction",1990,155387.500499128,170148.642476919,135913.561405281
"129","Deaths","Global","Both","Inguinal, femoral, and abdominal hernia",1990,40140.8395365522,45418.0001669156,32804.1098043804
"130","Deaths","Global","Both","Inflammatory bowel disease",1990,24294.7176916212,28375.6225891902,20257.712809463
"131","Deaths","Global","Both","Vascular intestinal disorders",1990,54583.1199612721,57303.2050290635,51202.5072995184
"132","Deaths","Global","Both","Gallbladder and biliary diseases",1990,82430.3515141645,90659.2377330942,66628.5384086927
"133","Deaths","Global","Both","Other transport injuries",1990,76685.3616582749,85506.3476026871,68132.058624411
"134","Deaths","Global","Both","Falls",1990,403575.218507408,445928.643037226,369191.577124078
"135","Deaths","Global","Both","Drowning",1990,460664.707609743,504304.371374616,402063.455410425
"136","Deaths","Global","Both","Fire, heat, and hot substances",1990,123213.461213287,151399.411048383,95472.7307104779
"137","Deaths","Global","Both","Diabetes mellitus type 1",1990,55417.1104219392,63920.0076635791,44066.1051008021
"138","Deaths","Global","Both","Diabetes mellitus type 2",1990,606407.242023318,637507.966925594,573068.742828032
"139","Deaths","Global","Both","Maternal abortion and miscarriage",1990,59474.5725908945,68097.4854192035,51677.8904867894
"140","Deaths","Global","Both","Liver cancer due to NASH",1990,17800.4661540664,21514.8539557319,14646.5082993596
"141","Deaths","Global","Both","Chronic kidney disease due to diabetes mellitus type 1",1990,43208.7027023284,58884.1367879679,30133.3123989476
"142","Deaths","Global","Both","Chronic kidney disease due to diabetes mellitus type 2",1990,149049.413148956,179274.71589219,119537.531621475
"143","Deaths","Global","Both","Other neglected tropical diseases",1990,10971.2562774327,27404.1667352137,6767.06593073935
"144","Deaths","Global","Both","Maternal hemorrhage",1990,95078.9561299508,107621.820268738,84631.0160185897
"145","Deaths","Global","Both","Maternal sepsis and other maternal infections",1990,38027.1127343676,43506.290763644,33014.8063714663
"146","Deaths","Global","Both","Maternal hypertensive disorders",1990,39790.1077335716,43783.6600959325,36106.0774952616
"147","Deaths","Global","Both","Maternal obstructed labor and uterine rupture",1990,8348.56642923786,9638.46991284932,7083.73739752351
"148","Deaths","Global","Both","Ectopic pregnancy",1990,5749.06066554041,6435.39195116372,5106.67183770647
"149","Deaths","Global","Both","Indirect maternal deaths",1990,21338.7886479823,24202.5912375747,18920.4903914373
"150","Deaths","Global","Both","Late maternal deaths",1990,9910.34994947551,12117.6052954794,8052.77855412155
"151","Deaths","Global","Both","Other maternal disorders",1990,24140.1475960425,27013.9511175289,21717.0695918286
"152","Deaths","Global","Both","Neonatal preterm birth",1990,1269043.04226749,1383975.74557753,1166140.22360825
"153","Deaths","Global","Both","Neonatal encephalopathy due to birth asphyxia and trauma",1990,808680.757284066,903199.776539081,726795.736288945
"154","Deaths","Global","Both","Neonatal sepsis and other neonatal infections",1990,260150.010796641,299463.097939517,208544.040106858
"155","Deaths","Global","Both","Hemolytic disease and other neonatal jaundice",1990,128119.123636174,146740.808903031,107982.774706234
"156","Deaths","Global","Both","Other neonatal disorders",1990,539952.216582159,644555.490785614,459814.099439977
"157","Deaths","Global","Both","Protein-energy malnutrition",1990,656313.61399334,877702.376568094,495905.387098738
"158","Deaths","Global","Both","Silicosis",1990,15106.7679207657,18493.9020673955,10913.1680445194
"159","Deaths","Global","Both","Asbestosis",1990,1458.58246247909,1745.22815031964,1182.54470992118
"160","Deaths","Global","Both","Coal workers pneumoconiosis",1990,4508.35549548309,5534.13850760892,2930.40812486571
"161","Deaths","Global","Both","Other pneumoconiosis",1990,2646.42011475224,3747.74752663614,1728.92535613634
"162","Deaths","Global","Both","Asthma",1990,460012.236281357,599600.998622951,342615.593369023
"163","Deaths","Global","Both","Interstitial lung disease and pulmonary sarcoidosis",1990,63696.5792470785,80625.0077808218,50957.778094342
"164","Deaths","Global","Both","Other chronic respiratory diseases",1990,26106.9226031786,32806.0801541229,20542.4743860316
"165","Deaths","Global","Both","Cirrhosis and other chronic liver diseases due to hepatitis B",1990,289682.831722732,331355.105220593,249026.934740637
"166","Deaths","Global","Both","Physical violence by sharp object",1990,101324.850736623,109678.738572591,84017.7598970368
"167","Deaths","Global","Both","Physical violence by other means",1990,142824.809934333,153380.505612006,132947.947336125
"168","Deaths","Global","Both","Exposure to forces of nature",1990,50247.9953814764,55287.1333842012,45624.8511137121
"169","Deaths","Global","Both","Maternal deaths aggravated by HIV/AIDS",1990,728.386014555233,1007.11079519991,437.936453263017
"170","Deaths","Global","Both","Environmental heat and cold exposure",1990,55079.4394040384,61481.3947679209,38830.4066897383
"171","Deaths","Global","Both","Ebola",1990,0,0,0
"172","Deaths","Global","Both","Acute lymphoid leukemia",1990,41243.8781435428,56590.308129431,32020.8650986687
"173","Deaths","Global","Both","Chronic lymphoid leukemia",1990,21548.3532385222,23027.4056544468,19810.5980901241
"174","Deaths","Global","Both","Acute myeloid leukemia",1990,48190.4752609711,56608.5642705938,43326.3882235712
"175","Deaths","Global","Both","Chronic myeloid leukemia",1990,31066.3020714178,41329.7525167653,25002.9319093766
"176","Deaths","Global","Both","Non-melanoma skin cancer (squamous-cell carcinoma)",1990,23222.1096201367,24436.2427847014,21440.5891272784
"177","Deaths","Global","Both","Executions and police conflict",1990,5766.73329073779,6738.92704989649,2643.18561003394
"178","Deaths","Global","Both","Drug-susceptible tuberculosis",1990,1760713.92424331,1908320.95734216,1610857.00409931
"179","Deaths","Global","Both","Zika virus",1990,0,0,0
"180","Deaths","Global","Both","Alcoholic cardiomyopathy",1990,53901.6425550437,69248.1061789094,49512.5891917285
"181","Deaths","Global","Both","Malaria",1990,840552.868148411,1356074.32892758,463324.608310854
"182","Deaths","Global","Both","Chagas disease",1990,11235.9477484489,13702.3592056329,4555.26909978
"183","Deaths","Global","Both","Visceral leishmaniasis",1990,58362.5525727115,191558.767733515,19365.741627446
