record_id,pmid,title,abstract,included_c,included_w,included,asreview_ranking
31,32754669,"ANAMT Technical Guideline (DT 05): prevention of occupational low back pain through back belts, lumbar support or braces.","Low back pain is a considerable global public health problem. Use of back belts in occupational settings arises from the expectation of countless biomechanical benefits, which together would contribute to the prevention of this problem. To orient students, physicians and health institutions on the use of back belts, lumbar support or braces for prevention of low back pain or injury among asymptomatic workers. The present guideline was developed based on a systematic literature review; 809 studies were located in database MEDLINE and 571 in EMBASE and Cochrane CENTRAL. Evaluating back-belt use as preventive intervention against low back pain demands quantifying benefits, harms and difficulties to implementation, as well as the methodological quality of primary studies. Despite the weak benefits reflected in the individual, partial and isolated results of a few studies, there is no consistent evidence for the use of back belts, lumbar supports or braces for primary prevention of low back pain or occupational low back injury among workers. According to the available evidence, back-belt use is not associated with reduction of absenteeism. Lombalgia é um problema internacional importante de saúde pública. O uso de cinta lombar no meio ocupacional emerge da expectativa de inúmeros benefícios bio-mecânicos que, em conjunto, promoveriam a prevenção desse problema. Orientar estudantes, médicos e estabelecimentos de saúde sobre o uso de cinta lombar, suporte ou órtese lombar como prevenção da lombalgia ou de lesões lombares em trabalhadores sem sintomatologia atual. Ela foi desenvolvida a partir da revisão sistemática da literatura: da base de dados MEDLINE, foram recuperados 809 trabalhos e das bases EMBASE e Central Cochrane, 571. Avaliar a cinta lombar como intervenção preventiva de lombalgia envolve a quantificação de benefícios, malefícios e facilidade de sua implementação, assim como a qualidade metodológica dos estudos primários. Apesar do benefício demonstrado fracamente em resultados individuais, parciais e isolados em poucos estudos, não há evidência consistente que sustente a utilização de cinta lombar, suporte ou órtese lombar na prevenção primária da lombalgia ou de lesões lombares ocupacionais em trabalhadores. As evidências, agrupadas, apontam para ausência de redução de absenteísmo com o uso da cinta lombar.",1,0,1,1
15,30764662,Primary Esophageal Diffuse Large B-Cell Lymphoma: A Comparative Review of 15 Cases.,"Primary esophageal diffuse large B-cell lymphoma (DLBCL) is an extremely rare clinicopathologic entity. We report one case from our clinical experience and undertake a review of the previously published cases. A systematic literature search of the medical databases PubMed and Google Scholar was conducted. A total of 15 cases fulfilled the inclusion criteria. The data on patients' characteristics, epidemiology, clinical features, HIV status, gross appearance of the lesion, esophageal location, treatment, and outcome were collected and analyzed. Primary esophageal DLBCL was more common among males, primarily in the fifth and sixth decades of life. Dysphagia was the most common initial clinical presentation. Tissue biopsy with immunohistochemistry was an indispensable diagnostic modality. The mainstay of treatment was chemotherapy with cyclophosphamide, vincristine, doxorubicin, and prednisone regimen, in addition to anti-CD20 antibody rituximab, with or without radiotherapy. This review serves to outline our current understanding of the epidemiology of and risk factors for primary esophageal DLBCL, the pathophysiology of this disorder, and currently available approaches to diagnosis and management.",1,0,1,2
25,31093181,"[Experiences, benefits and challenges of the use of geoprocessing for the development of primary health careExperiências, benefícios e desafios do uso de geoprocessamento para o desenvolvimento da atenção primária à saúde].","To review the empirical consequences of the use of geoprocessing in the management of primary health care (PHC) services, in order to disseminate the benefits of this technology and analyze the challenges that must be overcome for its contribution to the development of PHC. A systematic review of primary studies published in Spanish, English or Portuguese between 2000 and 2017 was carried out. First, a review of the academic production was carried out by continent and type of objective. In a second stage, the studies that experimented with and evaluated the use of geoprocessing in empirical form were selected. Specific and generic benefits, as well as limitations, were reviewed. 134 articles were identified in the first stage of selection, half of them from the Region of the Americas. Only nine studies met the criteria and were reviewed in the second stage. These studies showed that the use of geoprocessing generates benefits that go beyond the technical benefits, with limitations that can be overcome. Although the benefits of using geoprocessing have been widely discussed, few studies have evaluated its implementation in PHC empirically. Practical experiences, which could easily be reproduced in different communities, show that its continued use could increase the capacity to respond to the goals of PHC, as well as to the goals of sustainable development. Revisar as consequências empíricas do uso de geoprocessamento na gestão dos serviços de atenção primária à saúde (APS), com o propósito de difundir os benefícios do uso desta tecnologia, bem como precisar os desafios que devem ser superados para sua contribuição no desenvolvimento da APS. Foi realizada uma revisão sistemática de estudos primários publicados em espanhol, inglês ou português, entre os anos 2000 e 2017. Em primeiro lugar, uma revisão geral da produção acadêmica é efetuada por continente é tipo de objetivo. Em uma segunda etapa, são selecionados os estudos que experimentaram e avaliaram o uso de geoprocessamento em forma empírica, onde são revisados benefícios concretos é genéricos, bem como as limitações. Foram identificados 134 artigos na primeira etapa de seleção, a metade deles proveniente do continente americano. Nove estudos cumpriram os requisitos da segunda etapa; no entanto, demonstraram que o uso de geoprocesamiento gera benefícios que vão além dos benefícios técnicos, com limitações factíveis de serem superadas. Embora os benefícios do uso de geoprocessamento tenham sido amplamente discutidos, são escassos os estudos que avaliaram sua implementação em APS em forma empírica. Experiências práticas, que poderiam ser facilmente reproduzidas em outras comunidades, demonstram que seu uso contínuo poderia aumentar a capacidade de resposta às metas de APS, bem como às próprias metas do desenvolvimento sustentável.",1,0,1,3
24,31093120,"The associations that income, education, and ethnicity have with birthweight and prematurity: how close are they?","To identify evidence that income, education, or ethnicity might be associated with low birthweight, small-for-gestational-age birth, or preterm birth. A systematic review was conducted using searches in two online databases, PubMed and Literature in the Health Sciences in Latin America and the Caribbean (LILACS). The searches covered materials published between 1 January 1982 and 5 May 2016. The search terms used were (infant, premature OR infant, small for gestational age OR fetal growth retardation) AND (socioeconomic factors OR ethnic groups OR maternal age). A total of 3 070 references that met the initial selection criteria were analyzed, and 157 relevant studies were fully read. We located 18 studies that investigated associations of family or maternal income, education, or ethnicity with low birthweight, small-for-gestational-age birth, or preterm birth. Of the 18, 10 of them involved high-income countries, and 8 dealt with middle- or low-income countries. Greater evidence was found for an association between ethnicity and the three outcomes studied, particularly for prematurity among children of black mothers. There was little evidence for an association between maternal/family income or education and any of the three outcomes. Income and education weren't determinants for low birthweight, small-for-gestational-age birth, or preterm birth. However, black ethnicity was strongly associated with the three outcomes, especially with prematurity. Encontrar evidencia de que los ingresos, la educación o la etnicidad podrían estar asociados con el peso bajo al nacer, el peso bajo para la edad gestacional o el nacimiento prematuro. Se realizó una revisión sistemática mediante búsquedas en dos bases de datos en línea, PubMed y LILACS (Literature in the Health Sciences in Latin America and the Caribbean). Las búsquedas abarcaron los materiales publicados entre el 1 de enero de 1982 y el 5 de mayo del 2016. Los términos de búsqueda usados fueron (“infant, premature” O “infant, small for gestational age” O “fetal growth retardation”) [“lactante, prematuro” O “lactante, pequeño para edad gestacional” O “retraso del crecimiento fetal”] Y (“socioeconomic factors” O “ethnic group”) [“factores socioeconómicos” O “grupos étnicos” O “edad materna”]. Se analizó un total de 3 070 referencias que satisficieron los criterios de selección iniciales y se leyeron íntegramente 157 estudios pertinentes. Ubicamos 18 estudios que investigaron las asociaciones entre los ingresos, la educación o la etnicidad de la familia o la madre y el peso bajo al nacer, el peso bajo para la edad gestacional o el nacimiento prematuro. De estos 18 estudios, 10 fueron en países de ingresos altos y 8 en países de ingresos medianos o bajos. Se encontró más evidencia con respecto a la asociación entre la etnicidad y los tres resultados estudiados, en particular para la prematuridad en los hijos de mujeres de raza negra. Fue poca la evidencia respecto de la asociación entre los ingresos o la educación de la madre o la familia y cualquiera de los tres resultados. Los ingresos y la educación no fueron determinantes para el peso bajo al nacer o el peso bajo para la edad gestacional. Sin embargo, la etnicidad negra mostró una asociación estrecha con los tres resultados, especialmente con la prematuridad. Identificar evidências de que renda, escolaridade ou grupo étnico poderiam estar associados ao baixo peso ao nascer, recém-nascido pequeno para a idade gestacional ou prematuridade. Um estudo de revisão sistemática foi realizado fazendo-se buscas em duas bases de dados online, PubMed e Literatura Latino-Americana e do Caribe em Ciências da Saúde (LILACS). As buscas abrangeram os materiais publicados entre 1o de janeiro de 1982 e 5 de maio de 2016. Os termos de busca usados foram: (“infant, premature” OR “infant, small for gestational age” OR “fetal growth retardation”) [(“recém-nascido, prematuro” OU “recém-nascido, pequeno para idade gestacional” OU “retardo do crescimento fetal”)] E (“socioeconomic factors” OR “ethnic groups” OR “maternal age”) [(“fatores socioeconômicos” OU “grupos étnicos” OU “idade materna”)]. Todas as 3.070 referências que satisfizeram os critérios iniciais de seleção foram analisadas e 157 estudos relevantes foram lidos na íntegra. Foram identificados 18 estudos que investigaram a associação entre renda familiar ou materna, escolaridade ou grupo étnico com baixo peso ao nascer, recém-nascido pequeno para a idade gestacional ou prematuridade. Dentre os 18 estudos, 10 foram conduzidos em países de alta renda e 8 em países de baixa e média renda. Um volume maior de evidências foi observado para a associação entre grupo étnico e os três desfechos estudados, sobretudo prematuridade em filhos de mulheres negras. Poucas evidências foram encontradas para a associação entre renda familiar/materna ou escolaridade e qualquer um dos três desfechos. Renda e escolaridade não foram determinantes do baixo peso ao nascer, recém-nascido pequeno para a idade gestacional e prematuridade. Porém, o grupo étnico negro teve uma forte associação com os três desfechos, sobretudo com prematuridade.",1,0,1,4
26,31093204,Health and other impacts of community food production in Small Island Developing States: a systematic scoping review.,"To explore what is known on community-based food production initiatives (CFPIs) in Small Island Developing States, particularly the health, social, economic, and environmental impacts of and on CFPIs. This was a systematic scoping review using 14 electronic databases to identify articles published from 1997 to 2016 on the topic of CFPIs in Small Island Developing States. From 8 215 articles found, 153 were eligible and abstracted. Analysis focused on geographic location, typology, methodology, study design, theoretical frameworks, and impacts. Most research was conducted in the Pacific or Caribbean (49% and 43% of studies, respectively) and primarily focused on fishing and crop farming (40%, 34%). Findings indicate a predominance of research focusing on the environmental impact of marine and coastal resources on CFPIs, and very limited evidence of CFPI impact on human health, particularly nutrition and diet-related outcomes. There was a lack of explicit theoretical frameworks to explain the impacts of CFPIs. Evidence of impacts of CPFIs in Small Island Developing States is limited and the approaches taken are inconsistent. This review demonstrates the need and provides a basis for developing a coherent body of methods to examine the impacts of CFPIs and provide evidence to guide policy, especially as it relates to health. Explorar las iniciativas de producción de alimentos basadas en la comunidad (CFPI, por sus siglas en inglés) en los pequeños Estados insulares en desarrollo, en particular su impacto sanitario, social, económico y ambiental. Se realizó una revisión sistemática exploratoria usando 14 bases de datos electrónicas para identificar artículos publicados entre 1997 y 2016 sobre las CFPI en los pequeños Estados insulares en desarrollo. De 8 215 artículos encontrados, 153 fueron elegibles y resumidos. El análisis se centró en la ubicación geográfica, el tipo de iniciativa, la metodología, el diseño del estudio, el marco teórico y el impacto. La mayoría de las investigaciones se realizaron en el Pacífico o el Caribe (49% y 43% de los estudios, respectivamente) y se centraron principalmente en la pesca y el cultivo (40%, 34%). Los hallazgos indican un predominio de investigaciones centradas en el impacto ambiental de los recursos marinos y costeros en las CFPI, y una evidencia muy limitada del impacto de las CFPI en la salud humana, en particular en resultados relacionados con la nutrición y la dieta. Faltan marcos teóricos explícitos para explicar el impacto de las CFPI. La evidencia del impacto de las CPFI en los pequeños Estados insulares en desarrollo es limitada y los enfoques adoptados son inconsistentes. Esta revisión demuestra la necesidad de efectuar estudios y proporciona una base para desarrollar métodos coherentes para examinar el impacto de las CFPI y proporcionar evidencia para guiar las políticas, especialmente las relacionadas con la salud. Explorar iniciativas de produção alimentar baseada na comunidade (CFPI) em pequenos Estados insulares em desenvolvimento, particularmente seu impacto na saúde, social, econômico e ambiental. Uma revisão sistemática exploratória foi realizada utilizando 14 bases de dados eletrônicas para identificar artigos publicados entre 1997 e 2016 sobre CFPI em pequenos Estados insulares em desenvolvimento. Dos 8 215 artigos encontrados, 153 foram elegíveis e resumidos. A análise centrou-se na localização geográfica, no tipo de iniciativa, na metodologia, no desenho do estudo, no referencial teórico e no impacto. A maior parte da pesquisa foi realizada no Pacífico ou no Caribe (49% e 43% dos estudos, respectivamente) e se concentrou principalmente na pesca e na agricultura (40%, 34%). Os resultados indicam uma predominância de pesquisas focadas no impacto ambiental dos recursos marinhos e costeiros na CFPI, e evidências muito limitadas do impacto das CFPI na saúde humana, particularmente nos resultados relacionados à nutrição e dieta. Não existem quadros teóricos explícitos para explicar o impacto das CFPI. A evidência do impacto das CPFI em pequenos Estados insulares em desenvolvimento é limitada e as abordagens adotadas são inconsistentes. Esta revisão demonstra a necessidade de estudos e fornece uma base para o desenvolvimento de métodos coerentes para examinar o impacto das CFPI e fornecer evidências para orientar políticas, especialmente aquelas relacionadas à saúde.",1,0,1,5
23,31093082,[Internet-based alcohol interventions for college students: systematic reviewIntervenciones por Internet para reducir el consumo de alcohol de los estudiantes universitarios: revisión sistemática].,"To identify the main modalities of Internet-based interventions to limit alcohol use among university students, and to describe the effects of these interventions on alcohol use and related consequences. A systematic review of PubMed, PsycINFO, and SciELO was performed using as search terms alcohol drinking AND Internet, without date or language restrictions. Inclusion criteria were randomized controlled trial design, focus on college students and on Internet-based interventions, and evaluating the effects of the intervention on alcohol use or alcohol-related consequences. Thirty-six articles were analyzed. Two main intervention modalities were identified: personalized normative feedback (PNF, n=28) and multicomponent interventions (n=8). Twelve studies with PNF reported reductions in alcohol use 3 months after the intervention. Multicomponent interventions reduced alcohol use and related consequences; most studies focused on the website AlcoholEdu, which reduced alcohol consumption and the consequences of alcohol use 6 months after the intervention. FNP and the AlcoholEdu website, the most frequently evaluated interventions among the selected studies, were effective in reducing alcohol use in university students. These strategies are an alternative to increase the access of university students to interventions aimed at limiting alcohol use. Determinar las principales modalidades de intervención por Internet para limitar el consumo de alcohol de los estudiantes universitarios, y describir los efectos de cada una en el consumo de alcohol y sus consecuencias. Esta es una revisión sistemática hecha con artículos disponibles en las bases PubMed, PsycINFO y SciELO. Se utilizaron como términos de búsqueda alcohol drinking AND Internet, sin restricción de fecha ni de idioma. Los criterios de inclusión fueron los siguientes: estudio aleatorizado controlado con una muestra de estudiantes universitarios, enfoque en intervenciones por Internet y evaluación de los efectos de esas intervenciones en el consumo de alcohol o sus consecuencias. El análisis de 36 artículos permitió encontrar dos modalidades principales de intervención por Internet, a saber, intervenciones basadas en retroalimentación normativa personalizada (n=28) e intervenciones multicomponentes (n=8). En doce estudios con retroalimentación normativa personalizada se observó una reducción del consumo de alcohol tres meses después de la intervención. Las intervenciones multicomponentes redujeron el consumo de alcohol y sus consecuencias. La intervención más evaluada fue el sitio AlcoholEdu, que disminuyó el consumo de alcohol y sus consecuencias seis meses después de realizarla. La retroalimentación normativa personalizada y el sitio AlcoholEdu fueron las intervenciones más evaluadas en los estudios seleccionados y demostraron ser eficaces para reducir el consumo de alcohol en los estudiantes universitarios. Esas estrategias ofrecen una alternativa para ampliar el acceso de los estudiantes a intervenciones destinadas a limitar el consumo de alcohol.",0,1,1,6
14,30729031,IgG4-related diseases: state of the art on clinical practice guidelines.,"Immunoglobulin G4-related diseases (IgG4-RD) are a group of chronic relapsing-remitting inflammatory conditions, characterised by tissue infiltration with lymphocytes and IgG4-secreting plasma cells, fibrosis and a usually favourable response to steroids. In this narrative review, we summarise the results of a systematic literature research, which was performed as part of the European Reference Network ReCONNET, aimed at evaluating existing clinical practice guidelines (CPGs) and recommendations in IgG4-RD. From 167 publications initially obtained from a systematic literature search, only one was identified as a systematic multispecialist, evidence-based, consensus guidance statement on diagnosis and treatment of IgG4-RD, which may be recommended for use as CPG in IgG4-RD. With the recognition of a limited evidence based in this increasingly recognised disease, the group discussion has identified the following unmet needs: lack of shared classification criteria, absence of formal guidelines on diagnosis, no evidence-based therapeutic recommendations and lack of activity and damage indices. Areas of unmet needs include the difficulties in diagnosis, management and monitoring and the scarcity of expert centres.",1,0,1,7
7,30687173,Psychosocial Suicide Prevention Interventions in the Elderly: A Mini-Review of the Literature.,"In Europe the elderly population is projected to increase from 18.5% (93.9 million) in 2014 to 28.7% (149.1 million) by 2080. In the United States it is estimated that by 2030 more than 20% of the population will be aged 65 years or over. This specific population is at high risk of unrecognized or untreated psychiatric illnesses and suicide. It is well known that completed suicide rate increases with age in both men and women. Although elderly people attempt suicide less often than other age groups, they show a higher completion rate. Generally, the methods chosen by elderly are more lethal, the intent is more serious, they are more determined, and they show fewer warning signs than the younger population. A recent systematic review and meta-analysis of psychosocial intervention, following self-harm in adults, found that cognitive behavioral therapy was the most effective therapy in these patients. Unfortunately, there have been few reported trials of other potentially effective interventions. Because the scientific literature on psychosocial suicide prevention interventions in the elderly is still scant, we conducted a mini-review in order to take stock of the situation. Studies were identified through electronic searches of the Cochrane library, MEDLINE, Scopus and the Web of Science databases. PRISMA guidelines were followed and only seven articles met the inclusion criteria. No firm conclusions can be drawn about this topic because there is still very little data and studies use inconsistent outcome measures and designs. Nonetheless, the existing data suggests that psychosocial interventions are promising.",1,0,1,8
16,30766721,Women's heart health at mid-life: what is the role of psychosocial stress?,"Women in mid-life experience unique stressors, including transitions within their family roles, informal caregiving, job stress, and perceived discrimination. The impact of these stressors on cardiovascular health in women during mid-life is of growing interest in both the popular and scientific literature. The objective of this review is to summarize the recent literature on stress and cardiovascular health in mid-life women. We focus on stressors that are relevant to mid-life women, including social stress and discrimination, and long-term risk of CVD events and subclinical CVD measures. We systematically reviewed the literature published between January 2012 and April 2018 for studies examining stress in mid-life and either CVD endpoints or subclinical CVD outcomes. Eligible studies included at least one psychosocial stress exposure, a CVD or subclinical CVD outcome, and either included only female participants, reported sex-stratified analyses or tested for a sex*stress interaction. We identified 37 studies published since 2012 that met our criteria and included women between the ages of 40 and 65, including 3 case-control studies, 15 cross-sectional studies, and 19 prospective cohort studies. Because clinical CVD events typically occur after age 65 in women, only 22 studies were available that evaluated stress and hard CVD events in samples with mid-life women. Results from these studies suggested an increased and significant risk of CVD due to stress. Of the 15 studies that included subclinical CVD outcomes, the majority showed that mid-life women experiencing greater levels of stress had more subclinical CVD, as indicated by carotid intima-media thickness, flow-mediated dilation and arterial stiffness; however, several studies reported null associations. General life stress, including perceived stress and life events, in mid-life was significantly related to later-life CVD risk and mid-life subclinical CVD in the majority of studies published in the past six years. Job stress was inconsistently related to CVD risk in women, and fewer studies examined characteristics of other social roles, such as marriage, motherhood or caregiving. Perceived discrimination also was associated with CVD events and subclinical CVD in some samples of mid-life women. Further investigation into specific stressors relevant to women in mid-life, including caregiving and marital stress, are needed to understand the full extent to which life stress impacts CVD risk in mid-life women.",1,0,1,9
4,30687096,A Review of Resveratrol as a Potent Chemoprotective and Synergistic Agent in Cancer Chemotherapy.,"Background: Cancer has become a major disease endangering human health around the world. Conventional chemotherapy suffers from many side effects including pain, cardiotoxicity, hepatotoxicity, and renal toxicity. This review aims to describe a natural product of resveratrol as a chemoprotective and synergistic agent in the modulation of cancer chemotherapy. Methods: The publications were identified by comprehensive searching of SciFinder, PubMed, Web of Science, and our own reference library. Search terms included combinations of resveratrol, cancer, natural products, chemotherapy, and side effects. Selection of material focused on resveratrol reducing the side effects on cancer chemotherapy. Results: Thirty one references were referred in this review to outline resveratrol as a potent chemoprotective and synergistic agent in cancer chemotherapy, including 22 papers for describing the chemoprotective effects, and 9 papers for illustrating the synergistic effects. Conclusion: This study provides a systematic summary of resveratrol serving as a potent chemoprotective and synergistic agent to reduce the associated-side effects and enhance the therapeutic outcomes in cancer chemotherapy. Further studies in terms of resveratrol on a large amount of preclinical tests and clinical trials are highly demanded.",1,0,1,10
