record_id,pmid,title,abstract,included_c,included_w,included,asreview_ranking
9,30756094,Economic evaluation plan of a randomised controlled trial of intra-nodular injection of anti-TNF and placebo among patients with early Dupuytren's disease: Repurposing Anti-TNF for Treating Dupuytren's Disease (RIDD).,"Dupuytren's disease (DD) is a common fibroproliferative condition of the palmar and digital fascia of the hand; however, there is currently no approved treatment for early stage DD. The objective of this paper is to describe the methods applied to assess the cost-effectiveness of adalimumab injections compared to usual care for controlling the progression of early stage DD in the Repurposing Anti-TNF for Treating Dupuytren's Disease (RIDD) trial. Measure of effectiveness and resource use will be obtained from a randomised clinical trial, carried out in three healthcare centres, and recruiting a minimum of 138 patients aged 18 years and above with a diagnosis of early stage DD. Resource use and utility measures (quality-adjusted life years) will be collected at 3, 6, 9, 12 (primary outcome endpoint) and 18 months post-randomisation. A within-trial cost-utility analysis (CUA) will be conducted at 12 months and if the intervention is effective, a decision analytic model will be applied to estimate the lifetime effectiveness and costs. The analysis will be performed from a health system (National Health Service and personal social services) perspective. Sensitivity analysis will be conducted to assess the robustness of the results. RIDD is the first randomised controlled trial with an economic evaluation conducted among patients with early stage DD. The protocol described here records our intent to conduct both a within-trial CUA alongside the RIDD study and a lifetime CUA using decision-analytic modelling.",0,1,1,1
20,30886955,A phase II trial protocol of Tocilizumab in anti-TNF refractory patients with JIA-associated uveitis (the APTITUDE trial).,"Juvenile idiopathic arthritis (JIA) is the most common rheumatic disease in children. Children with JIA are at risk of intraocular inflammation (uveitis). In the initial stages of mild-moderate inflammation uveitis is asymptomatic. Most children with mild-moderate uveitis are managed on topical steroid drops with or without systemic methotrexate (MTX). When children with moderate-severe uveitis are refractory to MTX, monoclonal anti-tumour necrosis factor agents have been trialled, interim analysis data showed positive results. However, several children with severe recalcitrant disease or non-responsive to anti-tumour necrosis factor agents remain and are at greater risk of significant ocular complications and visual loss. Further evidence of alternative therapies is needed with evidence of a potential role of anti-interleukin-6 agents in the management of severe refractory uveitis. The trial will be conducted following a two-stage Simon design. The trial will register at least 22 patients aged 2 to 18 years with active JIA-associated uveitis, who have taken MTX for at least 12 weeks and have failed an anti-TNF agent. It will take place in 7 centres across the UK. All participants will be treated for 6 months, with follow up of 9 months from registration. Participants will receive a stable dose of MTX and those weighing ≥30 kg will be dosed with 162 mg of Tocilizumab every 2 weeks and participants weighing < 30 kg dosed with 162 mg of Tocilizumab every 3 weeks. Primary outcome is treatment response at 12 weeks. Adverse events will be collected up to 30 calendar days following treatment cessation. This is a novel adaptive design study of subcutaneous IL-6 inhibition in anti-TNF refractory JIA associated uveitis which will be able to determine if further research should be conducted. This is the first trial to look at ophthalmology outcomes in the efficacy of Tocilizumab in uveitis.This is the first paediatric clinical trial to assess the clinical effectiveness and safety of tocilizumab with MTX in JIA associated uveitis. The Trial is registered on the ISRCTN registry (ISRCTN95363507) on the 10/06/2015 and EU Clinical Trials Register on the 03/07/2015 (EudraCT Number: 2015-001323-23).",0,1,1,2
19,30863532,A study update newsletter or Post-it® note did not increase postal questionnaire response rates in a falls prevention trial: an embedded randomised factorial trial.,"Background: Participants not returning data collection questionnaires is a problem for many randomised controlled trials. The resultant loss of data leads to a reduction in statistical power and can result in bias. The aim of this study was to assess whether the use of a study update newsletter and/or a handwritten or printed Post-it® note sticker increased postal questionnaire response rates for participants of a randomised controlled trial. Method: This study was a factorial trial embedded within a host trial of a falls-prevention intervention among men and women aged ≥65 years under podiatric care. Participants were randomised into one of six groups: newsletter plus handwritten Post-it®; newsletter plus printed Post-it®; newsletter only; handwritten Post-it® only; printed Post-it® only; or no newsletter or Post-it®. The results were combined with those from previous embedded randomised controlled trials in meta-analyses. Results: The overall 12-month response rate was 803/826 (97.2%) (newsletter 95.1%, no newsletter 99.3%, printed Post-it® 97.5%, handwritten Post-it® 97.1%, no Post-it® 97.1%). The study update newsletter had a detrimental effect on response rates (adjusted odds ratio 0.14, 95% CI 0.04 to 0.48, p<0.01) and time to return the questionnaire (adjusted hazard ratio 0.86, 95% CI 0.75 to 0.99, p=0.04). No other statistically significant differences were observed between the intervention groups on response rates, time to response, and the need for a reminder. Conclusions: Post-it® notes have been shown to be ineffective in three embedded trials, whereas the evidence for newsletter reminders is still uncertain.",0,1,1,3
2,30684339,Risk markers of reproductive loss in women with hyperandrogenism.,"Introduction: The frequency of the pathological course of pregnancy with hyperandrogenism ranges from 21 to 48%. With the predominance of androgens against the background of lowering the normal products of steroidogenesis, a pro-inflammatory immune imbalance is formed, which causes a premature termination of the development of pregnancy. Many studies indicate that hyperandrogenism is a factor in the development of obstetric pathology, including placental dysfunction. The severity of obstetric complications of pregnancy in women with hyperandrogenism depends on the duration of the disease and the quality of preparation for pregnancy. Establishing early markers of endocrine hyperandrogenic imbalance in the body of a future mother and conducting timely therapy is the key to the successful completion of pregnancy. The aim: the establishment of hormonal-immunological changes and morphological and receptive structure peculiarities of the endometrium correlations in women with PCOS at the pregnancy planning stage. Materials and methods: 139 women with PCOS were screened at the stage of pregnancy planning. Diagnosis of PCI was conducted in accordance with the International Recommendations of Endocrine Society 2013 and the Rotterdam criteria of 2003. Endometrial aspiration was studied for the study of T and B lymphocyte populations, cytokine levels and endometrial receptors. Hormonal parameters were determined using the radioimmunological method using Immunotech (Czech Republic) and Siena Ire Sorin (France) kits. Normal values of the studied hormones in accordance with the recommendations of the manufacturer. In order to study the populations of T and B lymphocytes and endometrial receptors the aspirate, obtained by endometrial biopsies, was used taken on the 5-7 and 21-24 days of the menstrual cycle. The cytokines levels (INF-y, TNF-a, Il-4, Il-6, Il-8, Il-10) were estimated in the endometrium with the help of the test system Protein contour on immunoenzymatic analyzer Multyskan EX (Germany). The assessment of estrogens receptors at stroma and glands and progesterone receptors at stroma and glands was performed by H -Score system, lymphocytes count was carried out by the light microscope at 400 x 3 fields-of-view expansion. Statistical material analysis was carried out on the personal computer using the standard software package with applied statistical analysis (Excel 2003 and Statistica v. 6.0). The assessment of variables connection was carried out by Pirson's coefficient correlations. The statistical significance of differences was performed by the use of nonparametric Mann -Whitney criteria, χ2 and Fisher criterium. The significance threshold of statistical value was considered p = 0.05. Results: In women with hyperandrogenism, there was a significant increase (p <0.05) in the level of DHEA-S, a decrease in the level of E2 and progesterone in the early follicular phase compared with the control group and an increase in body weight by 37.5%. At histological examination of the endometrium on the 5-7th day of the menstrual cycle there was a lag proliferative changes of the endometrium, and in one third of women hyperplastic process against the background of reduced proliferative activity. At GA there was a marked violation of expression of receptors as estrogens and progesterone stroma in all stages of the menstrual cycle. In women with hyperandrogenism, changes in the immunological profile of endometriosis with the prevalence of Th-1 orientation of immunity have been detected. Conclusions: In women with hyperandrogenism there is a close correlation between the biochemical form of the domination of androgens, ovulatory dysfunction, immunohistochemical and morphological structure of the endometrium. Revealed features of pro-inflammatory direction of cytokine immunity.",1,0,1,4
11,30763490,[Organization of nutrition of children and adolescents at the regional level].,"The article presents the results of 13-year monitoring epidemiological studies on the actual nutrition and eating habits among children and adolescents studying in educational institutions of the Republic of Sakha (Yakutia). The study used standardized questionnaires, adapted by the Nutrition Center of the Health Institute M.K. Ammosov North-Eastern Federal University, in accordance with national traditions and food culture of the peoples of the North and the Arctic. Methods of frequency analysis of consumption of individual products and daily reproduction of food from memory have been used to study the main parameters of consumption of individual foods, including those from local animal and vegetable raw materials, and national dishes. Three monitoring epidemiological studies of 2001 (1st study), 2008 (2nd study), 2013 (3rd study) studied the energy value of diets and nutrients (proteins, fats, carbohydrates, vitamins and minerals), the contribution of macronutrients in energy value. Schoolchildren's awareness of healthy nutrition was assessed. Dietary habits and addictions of children to particular foods and dishes have been identified. A comprehensive assessment of the actual nutrition and health status of 130 adolescents aged 15-18 years is given to study the effect of actual nutrition on the health of children, their anthropometric indices and body composition. Based on the results obtained, recommendations on how to optimize the nutrition of children of school age were scientifically substantiated, measures were taken to improve it, and conclusions were drawn on the need to improve the legal regulation of school feeding.",1,0,1,5
6,30740535,"Coronary artery disease, genetic risk and the metabolome in young individuals.","Background: Genome-wide association studies have identified genetic variants associated with coronary artery disease (CAD) in adults - the leading cause of death worldwide. It often occurs later in life, but variants may impact CAD-relevant phenotypes early and throughout the life-course. Cohorts with longitudinal and genetic data on thousands of individuals are letting us explore the antecedents of this adult disease. Methods: 148 metabolites, with a focus on the lipidome, measured using nuclear magnetic resonance ( 1H-NMR) spectroscopy, and genotype data were available from 5,907 individuals at ages 7, 15, and 17 years from the Avon Longitudinal Study of Parents and Children (ALSPAC) cohort. Linear regression was used to assess the association between the metabolites and an adult-derived genetic risk score (GRS) of CAD comprising 146 variants. Individual variant-metabolite associations were also examined. Results: The CAD-GRS associated with 118 of 148 metabolites (false discovery rate [FDR] < 0.05), the strongest associations being with low-density lipoprotein (LDL) and atherogenic non-LDL subgroups. Nine of 146 variants in the GRS associated with one or more metabolites (FDR < 0.05). Seven of these are within lipid loci: rs11591147 PCSK9, rs12149545 HERPUD1-CETP, rs17091891 LPL, rs515135 APOB, rs602633 CELSR2-PSRC1, rs651821 APOA5, rs7412 APOE-APOC1. All associated with metabolites in the LDL or atherogenic non-LDL subgroups or both including aggregate cholesterol measures. The other two variants identified were rs112635299 SERPINA1 and rs2519093 ABO. Conclusions: Genetic variants that influence CAD risk in adults are associated with large perturbations in metabolite levels in individuals as young as seven. The variants identified are mostly within lipid-related loci and the metabolites they associated with are primarily linked to lipoproteins. Along with further research, this knowledge could allow for preventative measures, such as increased monitoring of at-risk individuals and perhaps treatment earlier in life, to be taken years before any symptoms of the disease arise.",1,0,1,6
5,30697184,Predictors of Evolution Into Multiple Sclerosis After a First Acute Demyelinating Syndrome in Children and Adolescents.,"Background/Objective: The aim of the study was to estimate the rate of evolution or for multiple sclerosis (MS), after a first acute demyelinating event (ADE) in pediatric patients, and to investigate the variables that predict this evolution. Methods: We retrospectively evaluated the clinical and neuroradiological features of children who presented a first ADE between January 2005 and April 2017. All patients included underwent a baseline MRI, a cerebrospinal fluid and blood analysis, including virological examinations. The evolution into MS was determined by the 2013 International Pediatric Multiple Sclerosis Study Group (IPMSSG) criteria. Clinical and radiological features predictive of MS were determined using multivariate analyses. Results: Ninety-one patients were selected (mean age at onset: 10.11 ± 4.6). After a mean follow-up of 5.6 ± 2.3 years, 35% of patients' conditions evolved to MS. In the logistic multivariate analysis of clinical and laboratory data, the best predictors of evolution into MS were: the presence of oligoclonal bands in CSF (p < 0.001), past infection with EBV (p < 0.001), periventricular lesions (p < 0.001), hypointense lesions on T1 (p < 0.001), and lesions of the corpus callosum (p < 0.001) including Dawson fingers (p < 0.001). Conclusion: Our findings suggest that a pattern of neuroimaging and laboratory findings may help to distinguish between, at clinical onset, children with a monophasic syndrome (clinically isolated syndrome or acute disseminated encephalomyelitis) from those who will develop MS.",1,0,1,7
1,30675162,Relationship of Circulating Fetuin-A Levels with Body Size and Metabolic Phenotypes.,"Previous studies have suggested the existence of distinct body size subgroups according to metabolic health referred to as metabolically healthy obesity (MHO) and metabolically abnormal but normal weight (MANW) patients. Although nonalcoholic fatty liver disease (NAFLD) is strongly associated with obesity and metabolic syndrome, the relationship between these phenotypes and fetuin-A, a representative hepatokine, has not been explored. We examined the association between circulating fetuin-A levels, metabolic health phenotypes, cardiometabolic risk parameters, and subclinical atherosclerosis in 290 subjects who were randomly selected from an ongoing cohort study. Fetuin-A concentrations were significantly associated with detrimental anthropometric and laboratory measurements, including increased waist circumference, blood pressure, alanine aminotransferase, fasting plasma glucose, and triglyceride levels. Furthermore, fetuin-A levels were significantly increased in the metabolically abnormal (MA) group compared to the metabolically healthy (MH) group in subjects without obesity (717.1 [632.1, 769.7] vs. 599.5 [502.0, 709.3], P = 0.001) and subjects with obesity (704.1 [595.5-880.9] vs. 612.2 [547.9-802.1], P = 0.016). In addition, brachial-ankle pulse wave velocity (baPWV), which reflects arterial stiffness, was higher in MA individuals compared to MH individuals. Multiple logistic regression analysis revealed that both individuals without obesity (P for trend = 0.017) and with obesity (P for trend = 0.028) in the higher tertiles of fetuin-A had an increased risk of MA than those in the lowest tertile. This study demonstrates that fetuin-A levels are significantly associated with metabolic health phenotypes, such as MHO and MANW, in Korean adults.",1,0,1,8
10,30763025,Two case reports of synchronous unilateral pleomorphic adenoma and cystadenolymphoma of the parotid gland with literature review.,"Background: Synchronous unilateral tumors in the parotid glands account for less than 5-10% of all salivary gland neoplasms. Mostly these are cystadenolymphomas, but tumors of different histological types can be found as well. In these cases it is often pleomorphic adenoma in combination with cystadenolymphoma. Ultrasound is the first choice imaging modality. Case report: We present two patients with two simultaneous tumors in a unilateral parotid gland. In each case, B-mode ultrasound showed two hypoechoic masses, one of which was predominantly cystic. The subsequent use of Virtual Touch Imaging Quantification (VTIQ) showed tumors of elastic tissue. After a parotidectomy, both cases were diagnosed with pleomorphic adenoma combined with cystadenolymphoma. Conclusion: The combination of B-mode ultrasound and VTIQ is an important diagnostic modality and may improve diagnostic accuracy to differentiate between benign and malignant lesions. Every clinician should be aware of the co-existence of different histological types of tumors in unilateral salivary glands. Background: Synchronous unilateral tumors in the parotid glands account for less than 5–10% of all salivary gland neoplasms. Mostly these are cystadenolymphomas, but tumors of different histological types can be found as well. In these cases it is often pleomorphic adenoma in combination with cystadenolymphoma. Ultrasound is the first choice imaging modality. Case report: We present two patients with two simultaneous tumors in a unilateral parotid gland. In each case, B-mode ultrasound showed two hypoechoic masses, one of which was predominantly cystic. The subsequent use of Virtual Touch Imaging Quantification (VTIQ) showed tumors of elastic tissue. After a parotidectomy, both cases were diagnosed with pleomorphic adenoma combined with cystadenolymphoma. Conclusion: The combination of B-mode ultrasound and VTIQ is an important diagnostic modality and may improve diagnostic accuracy to differentiate between benign and malignant lesions. Every clinician should be aware of the co-existence of different histological types of tumors in unilateral salivary glands.",1,0,1,9
13,30786686,Histological heterogeneity and distributional difference of gastric carcinosarcoma: report of 4 cases and literature review.,"Carcinosarcoma is a rare malignant neoplasm, consisting of both epithelial and mesenchymal component. Primary gastric carcinosarcoma is rare and poorly understood. We reported clinicopathologic features of 4 cases and analysis of 76 cases published in the literature. Clinical symptoms were nonspecific with epigastric pain, weight loss, and melena, as the most common complaints. The prognosis of patients was dismal with high mortality. The tumor commonly occurred in the upper stomach in Chinese patients, whereas, it was more prevalent at the lower stomach in Japanese and other populations. The two malignant components of this rare cancer showed considerable histological heterogeneity with a wide range of differentiation. We propose that carcinosarcomas be divided in two main subtypes: conventional carcinosarcoma and carcinosarcoma, not-otherwise-specified (NOS). Such distinction may provide useful information for targeted treatment of various sarcomatous components of this tumor. Immunohistochemistry should be routinely applied in the diagnosis of this rare tumor.",1,0,1,10
