record_id,pmid,title,abstract,included_c,included_w,included,asreview_ranking
28,30774282,The Impact of Housing Instability on Child Maltreatment: A Causal Investigation.,"More than a half million children are confirmed as victims of maltreatment by the child welfare system each year. Children from unstably housed families are over-represented in child mal-treatment reports, and a growing body of evidence links housing problems to maltreatment and Child Protective Services (CPS); investigation. The present study applies two propensity score analysis approaches-greedy matching and propensity score weighting-to data from the Fragile Families and Child Well-being Study to move toward a causal explanation of child mal-treatment behaviors among mothers in low-income households. Utilizing two separate methods to correct for overt selection bias, the present study finds that housing instability leads to a small increase in maltreatment behaviors, yet this small positive net impact on child maltreatment does not fully explain the over-representation of unstably housed families in the child welfare system. Families experiencing housing problems likely have a range of needs that require earlier, targeted intervention to mitigate consequences of poverty, domestic violence, and maternal depression. Child welfare services should invest resources in housing assistance programs in-house as well as through partnerships with local public housing authorities to stabilize families, reduce housing-related strain on caregivers, and promote family preservation.",0,1,1,1
53,31093056,[Maternal and child health care in Cuba: achievements and challengesCuidados de saúde materno-infantil em Cuba: conquistas e desafios].,"In Cuba, maternal and child health care is based on the priority granted by the State, the implementation of the National Maternal and Child Health Program and the guarantee of equitable access to health services. This article describes the Cuban experience in this field, as well as its main achievements, challenges, and lessons learned. Among the most relevant results up to 2015 are the reduction of infant mortality rate and under-five mortality rate to 4.3 and 5.7 deaths per 1 000 live births, respectively; 5-year survival of 99.4%; more than 10 prenatal check-ups per delivery; 5.3% of low birth weight; 99.9% of institutional births; and being the first country to validate the elimination of mother-to-child transmission of HIV/AIDS and congenital syphilis. The main challenges are to increase the rate of exclusive breastfeeding; to reduce anemia due to iron deficiency in children and pregnant women; to reduce overweight in children; to prevent accidents; and to reduce maternal mortality, adolescent fertility rate, and voluntary abortion. Among the lessons learned are the priority given by the State to health, the programmatic management of maternal and child care, the guarantee of universal coverage, the systematic collection of information for decision-making, the integration of sectors and social participation in health. Sustaining and improving the results achieved will contribute to the fulfillment of the Sustainable Development Agenda for 2030. Em Cuba, os cuidados de saúde materno-infantil baseiam-se na prioridade concedida pelo Estado, na implementação do Programa Nacional de Saúde Materno-Infantil e na garantia de acesso equitativo aos serviços de saúde. Este artigo descreve a experiência cubana neste campo, bem como as principais conquistas, desafios e lições aprendidas. Entre os resultados mais relevantes até 2015 estão a redução da mortalidade infantil e mortalidade em menores de 5 anos para 4,3 e 5,7 mortes por 1 000 nascidos vivos, respectivamente; sobrevivência a 5 anos de 99,4%; mais de 10 exames pré-natal por nascimento; 5,3% do baixo peso ao nascer; 99,9% dos partos institucionais; e seja o primeiro país a validar a eliminação da transmissão materno-infantil de HIV/AIDS e sífilis congênita. Os principais desafios são aumentar a taxa de aleitamento materno exclusivo; reduzir a anemia devido a deficiência de ferro em crianças e mulheres grávidas e reduzir o excesso de peso infantil; prevenir acidentes; e reduzir a mortalidade materna, taxa de fertilidade adolescente e aborto voluntário. Entre as lições aprendidas estão a prioridade dada pelo Estado à saúde, a gestão programática dos cuidados materno e infantil, a garantia de cobertura universal, a coleta sistemática de informações para a tomada de decisões, a integração de setores e a participação social em saúde. Sustentar e melhorar os resultados obtidos contribuirá para o cumprimento da Agenda de Desenvolvimento Sustentável para 2030.",0,1,1,2
55,31093127,"[Fertility in adolescent women and social inequalities in Mexico, 2015Fecundidade entre adolescentes e desigualdades sociais no México, 2015].","To determine the association between teenage pregnancy and socioeconomic factors and to estimate social inequalities among adolescents in Mexico in 2015. A study involving women from 15 to 19 years of age was conducted using data from birth records for 2015. The fertility rate was determined and disaggregated by quintiles for each socioeconomic variable. Absolute and relative measures of inequality were estimated; negative binomial regression analysis was used to obtain risk ratios and 95% confidence intervals. The fertility rate was 73.21 births per 1000 women between the ages of 15 and 19 years in Mexico. Coahuila was the state with the highest birth rate (99.3 per 1000 adolescents). A statistically significant association was found between fertility rate and the gap in access to health services, especially in quintile 5 (risk ratio [RR] = 45.68), whereas a greater association with the gap in education was found in quintile 4 (RR = 27.36). No significant differences were found in terms of the gap in access to social security. Marginalization and poverty are significantly associated with teenage pregnancy and fertility rate. However, wide inequalities exist among the different social groups, making it necessary to implement actions geared towards promoting measures to improve the social, political, and economic environment. Determinar a associação entre gravidez na adolescência e fatores socioeconômicos e estimar as desigualdades sociais nas adolescentes do México em 2015. Um estudo foi realizado a partir dos registros de nascimentos de 2015 em adolescentes do sexo feminino com idade de 15 a 19 anos. Foi determinada a taxa de fecundidade desagregada por quintis para cada variável socioeconômica. Foram calculadas medidas absolutas e relativas de desigualdade e analisado um modelo de regressão binomial negativa para as razões de risco e intervalos de confiança de 95%. A taxa de fecundidade encontrada foi de 73,21 nascimentos por 1.000 mulheres com idade de 15 a 19 anos no México. O Estado de Coahuila teve a maior taxa de nascimento (99,3 por 1.000 adolescentes). Observou-se uma associação estatisticamente significativa entre a taxa de fecundidade e defasagem no acesso aos serviços de saúde, sobretudo no quintil 5 (risco relativo [RR] 45,68), enquanto que o atraso educacional foi maior no quintil 4 (RR 27,36). Não houve diferença significativa na defasagem no acesso à previdência social. O estado de marginalização e pobreza têm uma importante associação com gravidez e taxa de fecundidade em adolescentes. Existem, no entanto, grandes lacunas de desigualdade entre os grupos sociais, sendo necessário implementar ações direcionadas a promover a melhoria dos entornos sociais, políticos e econômicos.",0,1,1,3
12,30687796,Metabolic profiling of adolescent non-alcoholic fatty liver disease.,"Background: Adolescent non-alcoholic fatty liver disease (NAFLD) is associated with cardiometabolic risk factors. The association between adolescent NAFLD and a wide range of metabolic biomarkers is unclear. We have attempted to determine the differences in metabolic profile of adolescents with and without markers of NAFLD. Methods: We performed cross-sectional analyses in a sample of 3,048 participants from the Avon Longitudinal Study of Parents and Children at age 17. We used three indicators of NAFLD: ALT >40 U/l; AST >40 U/l and ultrasound scan-assessed steatosis. Associations between each measure of NAFLD and 154 metabolic traits, assessed by Nuclear Magnetic Resonance, were analyzed by multivariable linear regression, adjusting for age, sex and BMI. Results: All three indicators of NAFLD were associated with ~0.5 standard deviation (SD) greater concentrations of all extremely large to small very low-density lipoproteins (VLDL) measures. ALT >40U/l was associated with ~0.5SD greater concentrations of very small VLDLs, intermediate-density lipoproteins and low-density lipoproteins. Concentrations of most cholesterols, including remnant cholesterol, all triglycerides and monounsaturated fatty acids, in addition to glycoprotein acetyls (inflammatory marker), were also higher in participants with NAFLD. Conclusions: We have identified differing metabolic profiles between adolescents with and without indicators of NAFLD. These results provide the foundations for future research to determine whether these differences persist and result in adverse future cardiometabolic health.",1,0,1,4
38,30840955,Body Composition and Circulating Polyunsaturated Fatty Acids at Age 6 Years: A Longitudinal Pilot Study.,"Maternal polyunsaturated fatty acid (PUFA) status during pregnancy may influence birth outcomes and offspring adiposity during childhood. Cord blood PUFA levels associate positively with maternal PUFA and negatively with the newborn's abdominal adiposity. However, longitudinal, prospective studies consistently evaluating maternal and cord blood and PUFA levels in childhood and their association with the child's body composition are so far lacking. In a population of 16 apparently healthy children born appropriate for gestational age and followed longitudinally since birth, we assessed circulating PUFA (by gas chromatography) in maternal, cord, and peripheral blood at age 6 years and studied their correlation with body composition (by absorptiometry) and endocrine-metabolic variables at age 6 years. No associations were found among parameters of body composition and endocrine-metabolic variables at age 6 years and maternal, cord blood or circulating PUFA in peripheral blood. Maternal levels of n-6 linoleic acid, total n-6, and the ratio of n-6:n-3 correlated with their corresponding PUFA levels at age 6 years. In conclusion, in this pilot study, maternal, cord blood, and children's circulating PUFA do not appear to have an impact on body composition and endocrine-metabolic status at the age of 6 years. The close association between maternal PUFA and offspring PUFA at that age may reflect a similarity in nutritional habits in the mother and child.",1,0,1,5
46,31007811,A cross-sectional study of traditional practices affecting maternal and newborn health in rural Nigeria.,"Certain traditional practices which have negative effects on maternal and child health continue to be practiced in sub-Saharan African countries. A survey was carried out in a rural village in Nigeria to understand the scale and range of these practices. This was a cross-sectional study in which trained interviewers administered pre-tested questionnaires on child-bearing women using questionnaires embedded on android devices. The median age of marriage and pregnancy were 15 and 16 years respectively. Home births were high (90.4%) while non-skilled birth attendant was 87.4%. The community had a son preference index ratio of 1:4.1. Up to 81.5% of mothers responded that one form of unhygienic traditional procedure or the other was performed on their children. Time to initiation of breast feeding was in hours in the majority (76.3%) of mothers, with a high rate of use of prelacteal feeds (85.2%). Being an adolescent mother (AOR 0.403, 95%CI 0.203, 0,797) and utilizing a skilled provider at birth (AOR 0.245, 95%CI 0.088, 0.683) were associated with less likelihood of having an unhygienic procedure performed on children. The findings of our study suggest that traditional practices which could have negative effects on maternal and child health are still ongoing in the study community. Child protection laws and safeguarding principles could help to reduce these practices and would need to be developed and implemented in these settings where these practices are still prevalent.",0,1,1,6
54,31093123,Bullying involvement and substance use among Brazilian adolescent students.,"Although bullying involvement has been associated with adolescent substance use, most of this evidence comes from high-income countries. Little is known about substance use among perpetrator-victims in low- and middle-income countries. This study explores the association between types of bullying involvement and adolescent substance use in Brazil. Data for this cross-sectional study came from the 2015 Pesquisa Nacional de Saúde do Escolar [National Adolescent School-based Health Survey] (PeNSE), a nationwide school-based survey of Brazilian ninth graders. Substance use was analyzed as any substance use (i.e., use of alcohol, cigarettes, or marijuana in the previous 30 days) and substance co-use (i.e., use of all three substances). Logistic regression analyses were conducted, and adjusted odds ratios (aORs) were calculated, adjusting for demographic characteristics and student loneliness. Odds of any substance use for bullying perpetrators-only and for perpetrator-victims, respectively, were significantly higher compared to no bullying involvement (aOR = 2.99, 95% CI = 2.71-3.30 and aOR = 2.52, 95% CI = 2.31-2.75). Adjusted odds of substance co-use were also significantly higher among perpetrators-only and perpetrator-victims (aOR = 4.04, 95% CI = 3.05-5.35 and aOR = 3.49, 95% CI = 2.71-4.51, respectively). Victimization-only was associated with a 14% increase in the odds of any substance use (aOR = 1.14, 95% CI = 1.07-1.22). The results underscore the complex relationship between adolescent bullying involvement and substance use. Findings also indicate the type of bullying involvement, as well as demographic and psychological factors, should be taken into consideration when assessing adolescent health-risk behaviors. Aunque la participación en el acoso escolar (bullying) se ha asociado con el consumo de sustancias en los adolescentes, la mayor parte de los datos científicos al respecto provienen de países de ingresos altos. Poco se sabe acerca del consumo de sustancias en los perpetradores y las víctimas en los países de ingresos bajos y medianos. En este estudio se explora la asociación entre algunos tipos de participación en el acoso escolar y el consumo de sustancias por los adolescentes en Brasil. Los datos para este estudio transversal provinieron de la Encuesta Nacional de Salud de los Escolares del 2015, una encuesta llevada a cabo en las escuelas a nivel nacional en los estudiantes brasileños del noveno curso. El consumo de sustancias se dividió en uso de una sola sustancia (a saber, consumo de alcohol, cigarrillos o marihuana en los 30 días anteriores) y uso concomitante (es decir, consumo de los tres tipos de sustancias). Se realizaron análisis de regresión logística y se calcularon las razones de posibilidades ajustadas (aOR), con ajustes para las características demográficas y la soledad de los estudiantes. Las probabilidades de consumo de cualquier sustancia en los perpetradores del acoso y los que eran a la vez perpetradores y víctimas, respectivamente, fueron más altas (con significancia estadística) en comparación con quienes no participaban en el acoso (aOR = 2,99, IC de 95% =2,71-3,30; y aOR = 2,52, IC de 95% = 2,31-2,75). Las probabilidades ajustadas de consumo concomitante de las sustancias también fueron significativamente más altas entre los perpetradores exclusivos y los perpetradores víctimas (aOR = 4,04, IC de 95% = 3,05-5,35; y RPa = 3,49, IC de 95% = 2,71-4,51, respectivamente). La victimización exclusiva se asoció con un aumento de 14% en las probabilidades de consumo de cualquier sustancia (aOR = 1,14, IC de 95% = 1,07-1,22). Los resultados subrayan la compleja relación entre la participación de los adolescentes en el acoso y el consumo de sustancias. Los resultados también indican que deben tenerse en cuenta el tipo de participación en el acoso, así como los factores demográficos y psicológicos, al evaluar los comportamientos de riesgo para la salud de los adolescentes. Apesar de a prática de bullying ter sido associada ao uso de substâncias psicoativas em adolescentes, grande parte das evidências obtidas é oriunda de países de alta renda. Pouco se sabe sobre o uso de substâncias psicoativas em agressor-vítimas em países de baixa e média renda. O objetivo deste estudo foi investigar a associação entre os tipos de prática de bullying e o uso de substâncias psicoativas em adolescentes no Brasil. Os dados para este estudo transversal foram obtidos da Pesquisa Nacional de Saúde do Escolar (PeNSE), um inquérito realizado com adolescentes do 9° ano do ensino fundamental em todo o país. O uso de substâncias psicoativas foi analisado como sendo o uso de qualquer tipo de substância psicoativa (como uso de álcool, cigarros ou maconha nos 30 dias anteriores à pesquisa) e o uso concomitante de substâncias psicoativas (ou seja, uso dos três tipos de substâncias). Foram realizadas análises de regressão logística e calculadas razões de chances ajustadas (OR aj) segundo características demográficas e grau de solidão dos estudantes. As chances de uso de qualquer tipo de substância psicoativa entre os exclusivamente praticantes de bullying e agressor-vítimas foram significativamente maiores em comparação aos que não praticam bullying (OR aj = 2,99, IC 95% = 2,71–3,30 e OR aj = 2,52, IC 95% = 2,31–2,75, respectivamente). As chances ajustadas do uso concomitante de substâncias psicoativas foram também significativamente maiores entre os exclusivamente praticantes de bullying e agressor-vítimas (OR aj = 4,04, IC 95% = 3,05–5,35 e OR aj = 3,49, IC 95% = 2,71–4,51, respectivamente). Exclusivamente vitimização foi associado a uma chance 14% maior de uso de qualquer tipo de substância psicoativa (OR aj = 1,14, IC 95% = 1,07–1,22). Os resultados deste estudo chamam atenção à complexa relação entre a prática de bullying e o uso de substâncias psicoativas em adolescentes. Os achados do estudo também indicam que o tipo de prática de bullying e fatores demográficos e psicológicos devem ser considerados ao serem avaliados os comportamentos de risco à saúde dos adolescentes.",0,1,1,7
17,30693309,"The relationship between childbearing motivations with fertility preferences and actual child number in reproductive-age women in Mashhad, Iran.","Motivation is directly involved in women's childbearing decision. Considering the lack of information about reproductive-age women's childbearing motivations with preferences and actual child number in Iran, this study was conducted to determine the relationship between childbearing motivations with the fertility preferences and actual child number of reproductive-age women. The participants in this descriptive-correlational study were 844 reproductive-age women (aged 15-49 years) who were married for the first time and came from a wide range of areas in Mashhad. Multistage and convenience samplings were applied and the data were collected using Miller's childbearing motivation and fertility preferences and actual child number questionnaire. The results of the study reveal that positive- and negative-childbearing motivation were correlated with preferences (P < 0.001) but were not correlated with actual child number. Furthermore, the interactional variable derived by a combination of positive and negative motivations showed a significant relationship with the ideal and actual child number (P < 0.05). Childbearing motivations affect the fertility preferences in reproductive-age women but do not appear to have any influence on the actual child number. Furthermore, the interactional variables affect the ideal and actual child number.",0,1,1,8
18,30705610,"Traditional gender roles and substance-use behaviors, attitudes, exposure, and resistance among early adolescents in large cities of Mexico.","This study investigated the associations between traditional gender roles (TGRs) and substance use among early adolescents in Mexico's largest cities. The sample of seventh grade students (n = 4,932) attended 26 public schools in Mexico City, Guadalajara, or Monterrey in 2014. Outcomes included recent alcohol, binge drinking, cigarette and marijuana use, and lifetime poly-substance use; substance-use intentions, norms, attitudes, and expectancies; and substance-use exposure (peer use, offers) and resistance (refusal confidence, refusal skills, and decision-making skills). A TGR scale assessed endorsement of a polarized gender division of family labor and power. As hypothesized, among males, TGRs were consistently associated with poorer outcomes, and this association was usually stronger for males than for females. In contrast, among females there was no evidence that TGRs were associated with desirable outcomes. Contrary to expectations, TGRs predicted poorer outcomes for both females and males, and to equivalent degrees, for binge drinking, cigarette use, positive substance-use expectancies, and friends' approval of substance use, and they predicted poorer outcomes for females but not for males on parental disapproval of substance use and drug-resistance skills. Interpretations highlight the persisting aspects of TGRs in the family and conflicting messages for females as Mexico undergoes changes in its gender order.",0,1,1,9
52,31086630,"Human immunodeficiency virus awareness and condom use among female adolescent prostitutes in Lagos, Nigeria.","The cornerstone of HIV prevention among female adolescent prostitutes is awareness promotion complemented with advocacy on consistent and correct use of condom. The study aimed at reviewing HIV awareness and condom use among female adolescent prostitutes in Lagos communities, Nigeria. It was a mixed-method study realized through a questionnaire-based survey and in-depth interviews of adolescent sex workers in Oyingbo and Yaba communities of Lagos State, Nigeria; conducted between 1st of April, 2014 and 30th of September, 2014. SPSS version 17.0 and content analysis were used in analyzing quantitative and qualitative data respectively. 97.3% had heard about HIV/AIDS; with 86.9% being tested for HIV in the preceding 6 months. While there was consistent use of male condom in 99.7% of the respondents, 90% had experience with the use of female condom, however, 95.5% would allow non- use of condom for higher financial reward. Although the level of awareness of HIV/AIDS was high among the respondents, there is need to improve on the level of awareness and preventive strategies for HIV/AIDS, with more emphasis laid on the consistent and correct use of condom in this highly vulnerable class of people.",0,1,1,10
