record_id,pmid,title,abstract,included_c,included_w,included,asreview_ranking
24,30697459,Evaluation of planar bioluminescence imaging and microPET/CT for therapy monitoring in a mouse model of pigmented metastatic melanoma.,"Bioluminescence imaging (BLI) is widely used for in-vivo monitoring of anti-cancer therapy in mice. [18F]MEL050 is a Positron Emission Tomography (PET) radiotracer which specifically targets melanin. We evaluated planar BLI and [18F]MEL050-PET/CT for therapy (pro-apoptotic peptide LZDP) monitoring in a mouse model of metastatic pigmented melanoma. Twelve B6-albino mice were intravenously injected with B16-F10-luc2 cells on day 0 (D0). The mice received daily from D2 to D17 either an inactive peptide (G1, n=6), or LZDP (G2, n=6). They underwent both BLI and [18F]MEL050-PET/CT imaging on D2, D8 and D17. The number of visible tumors was determined on BLI and PET/CT. [18F]MEL050 uptake in tumor sites was quantified on PET/CT. After sacrifice (D17), the number of black tumors was counted ex-vivo. On D2, BLI and PET/CT images were visually negative. On D8, BLI detected 8 tumor sites in 4/6 mice of G1 vs 5 in 3/6 mice of G2 (NS); PET/CT was visually negative. On D17, BLI detected 17 tumor sites in 5/6 mice of G1 vs 10 in 4/6 mice of G2 (NS). PET/CT detected 18 tumor sites in 4/4 mice of G1 vs 14 in 3/4 mice of G2 (NS). Mean %ID/g of [18F]MEL050 in tumor sites was lower in G2 than in G1 on D17 (P<0.001), whereas bioluminescence intensity was not different between the 2 groups. Ex-vivo examination confirmed lower number of tumors in G2 (P<0.03). In the small number of animals tested in this study, [18F]MEL050-PET/CT and ex-vivo examination could affirm anti-tumoral effect of LZDP, but not BLI.",1,0,1,1
30,30713500,Activin Receptor Ligand Blocking and Cancer Have Distinct Effects on Protein and Redox Homeostasis in Skeletal Muscle and Liver.,"Muscle wasting in cancer cachexia can be alleviated by blocking activin receptor type 2 (ACVR2) ligands through changes in protein synthesis/degradation. These changes in cellular and protein metabolism may alter protein homeostasis. First, we elucidated the acute (1-2 days) and 2-week effects of blocking ACVR2 ligands by soluble activin receptor 2B (sACVR2B-Fc) on unfolded protein response (UPR), heat shock proteins (HSPs) and redox balance in a healthy mouse skeletal muscle. Second, we examined UPR, autophagy and redox balance with or without sACVR2B-Fc administration in muscle and liver of C26 tumor-bearing mice. The indicators of UPR and HSPs were not altered 1-2 days after a single sACVR2B-Fc administration in healthy muscles, but protein carbonyls increased (p < 0.05). Two weeks of sACVR2B-Fc administration increased muscle size, which was accompanied by increased UPR markers: GRP78 (p < 0.05), phosphorylated eIF2α (p < 0.01) and HSP47 (p < 0.01). Additionally, protein carbonyls and reduced form of glutathione increased (GSH) (p < 0.05). On the other hand, C26 cancer cachexia manifested decreased UPR markers (p-eIF2α, HSP47, p-JNK; p < 0.05) and antioxidant GSH (p < 0.001) in muscle, whereas the ratio of oxidized to reduced glutathione increased (GSSG/GSH; p < 0.001). Administration of sACVR2B-Fc prevented the decline in GSH and increased some of the UPR indicators in tumor-bearing mice. Additionally, autophagy markers LC3II/I (p < 0.05), Beclin-1 (p < 0.01), and P62 (p < 0.05) increased in the skeletal muscle of tumor-bearing mice. Finally, indicators of UPR, PERK, p-eIF2α and GRP78, increased (p < 0.05), whereas ATF4 was strongly decreased (p < 0.01) in the liver of tumor-bearing mice while sACVR2B-Fc had no effect. Muscle GSH and many of the altered UPR indicators correlated with tumor mass, fat mass and body mass loss. In conclusion, experimental cancer cachexia is accompanied by distinct and tissue-specific changes in proteostasis. Muscle hypertrophy induced by blocking ACVR2B ligands may be accompanied by the induction of UPR and increased protein carbonyls but blocking ACVR2B ligands may upregulate antioxidant protection.",1,0,1,2
32,30723481,Blockade of TNFα to Improve Human CD34+ Cell Repopulating Activity in Allogeneic Stem Cell Transplantation.,"Early release of TNFα after hematopoietic stem cell transplantation (HSCT) correlates with development of acute graft-vs.-host disease (GVHD). Here we tested the effect of TNFα and alloreactive T cells on early hematopoietic HSC genotype and function. Addition of TNFα (10 ng/ml) in liquid cultures with CD34+ cells for 6-72 h resulted in the downregulation of genes associated with stem cell activity, such as DNMT3A, DNMT3B, TET1, TET2, SOX2, NANOG, and OCT4, whereas no significant effect was observed on DNMT1 and GATA2 expression. These findings were reversed by using an anti-TNFα antibody. Similar gene downregulation was observed when CD34+ cells were co-cultured with alloreactive T cells CD34+ cells for 48-72 h, and this effect was partially prevented by rapamycin and an anti-TNFα antibody. CD34+ cells pre-incubated with TNFα for 48 h and transplanted in irradiated NOD-SCID ɤnull (NSG) mice showed a reduced myeloid engraftment compared to control mice. By using a xenograft model recently developed in our lab, we co-transplanted CD34+ cells and allogeneic T lymphocytes at 1:0.1 ratio in one group that also received etanercept (TNFα inhibitor) at 100 μg intra-peritoneum (i.p.) on days -1,+1,+3,+5 post-HSCT, and in the control group. At 6 weeks post-transplant, mice that received etanercept had a significantly higher number of marrow huCD45+CD34+CD38- early stem cells (p = 0.03) and a reduced number of huCD45+CD3+ splenic T cells (p = 0.04) compared to controls. The repopulating activity of marrow cells from mice treated with etanercept vs. controls was tested in secondary transplants. Although the overall engraftment was similar in the two groups, CD34+ cells isolated from recipients of marrow from the etanercept group showed a significantly greater expression of stem cell-associated genes and a higher number of CD45+CD34+CD38- cells than in controls (p = 0.03). Our findings suggest that early TNFα increase post-transplant can affect long-term stem cell engraftment, and that blockade of TNFα early after transplant may limit a cytokine-mediated suppressive effect on repopulating stem cell function.",1,0,1,3
29,30705647,Dynamic Patterns of Threat-Associated Gene Expression in the Amygdala and Blood.,"Stress and trauma profoundly influence psychiatric biobehavioral outcomes. The identification of treatment and biomarker targets would be accelerated by a broad understanding of the biological responses to these events. The goal of this study was to determine genes responsive to auditory fear conditioning (FC), a well-characterized amygdala-dependent rodent model of threat-exposure, in the presence or absence of prior stress history, providing insight into the physiological processes underlying response to trauma. RNA-sequencing was performed in blood and amygdala from mice that underwent fear conditioning with (Immo+FC) and without (FC) prior immobilization stress, a paradigm that induces HPA axis, and behavioral stress sensitization. In the amygdala, 607 genes were regulated by FC vs. home-cage (HC) controls, and 516 genes differed in stress-sensitized mice (Immo+FC vs. FC). In the former, we observed an enhancement of specific biological processes involved in learning and synaptic transmission, and in the latter processes associated with cell proliferation and the cellular response to drugs. In the blood of stress-sensitized animals, 468 genes were dynamically regulated when compared to FC, and were enriched for the biological pathways of inflammation and cytokine signaling. This study identified genes and pathways that respond to threat in the amygdala and blood of mice with and without a prior stress history and reveals the impact of stress history on subsequent inflammation. Future studies will be needed to examine the role of these dynamically regulated genes may play in human clinical stress and trauma-related disorders.",1,0,1,4
40,30814882,Bone marrow-derived lineage-negative cells accelerate skin regeneration in vivo.,"Cell-based therapy is a promising strategy for promoting tissue regeneration when conventional treatments are not effective. ehT choice of the accessible source to obtain a sufficient cell amount and the use of suitable biomaterials to improve the cell delivery efficiency are the main tasks for safe, effective, and reliable application of stem cell therapy. In this study, we have compared the influence of bone marrow-derived Lin¯ cells on skin regeneration after local transplantation with or without type I collagen-based gel in a BALB/c mice full-thickness wound model. Lin¯ cells were isolated using magnetic-associated cell sorting and identified by flow cytometry. Cytokine gene expression was examined using real-time PCR. Our results show that the bone marrow-derived Lin¯ cell population demonstrates the properties to stimulate the skin tissue regeneration. Significant accelerated wound closure was revealed after cell transplantation (P < 0.05). Histological analysis indicated the earliest inhibition of inflammation, accelerated reepithelialization, and evenly distributed skin appendages in the neodermis after Lin¯ cell transplantation with type I collagen gel. eTh significant changes in mRNA levels of cytokines TNF-α, IL-10, TGF-β, and VEGF after Lin¯ cell transplantation were confirmed by RT-PCR (P < 0.05). eTh ability to positively control the reactions taking place during the wound healing process gives the advantage to the bone marrow Lin¯ cell population to be used as a cell source for therapy.",1,0,1,5
41,30886760,Enhanced cortical bone expansion in Lgals3-deficient mice during aging.,"Imbalances between bone formation and bone resorption, which can occur due to aging or sex hormone deprivation, result in decreased bone mass and an increased risk of fracture. Previous studies have suggested that the β-galactoside binding lectin, galectin-3, is involved in bone remodeling. We compared bone parameters of mice having null alleles of the galectin-3 gene (Lgals3-KO) with those of their wild-type littermates. Lgals3 deficiency increased cortical bone expansion at 36 weeks (wk) and preserved or enhanced bone mass in both male and female mutant mice. In addition, female Lgals3-KO mice were protected from age-related loss of trabecular bone. Histomorphometry and ex vivo primary cell differentiation assays showed increased osteoblastogenesis with little-to-no effect on osteoclastogenesis, suggesting the increased bone mass phenotype is primarily due to increased anabolism. Our study identifies galectin-3 as a negative regulator of bone formation and suggests that disruption of galectin-3 may be useful in preventing bone loss during aging.",1,0,1,6
18,30692914,Sirtuin 1 and Autophagy Attenuate Cisplatin-Induced Hair Cell Death in the Mouse Cochlea and Zebrafish Lateral Line.,"Cisplatin-induced ototoxicity is one of the major adverse effects in cisplatin chemotherapy, and hearing protective approaches are unavailable in clinical practice. Recent work unveiled a critical role of autophagy in cell survival in various types of hearing loss. Since the excessive activation of autophagy can contribute to apoptotic cell death, whether the activation of autophagy increases or decreases the rate of cell death in CDDP ototoxicity is still being debated. In this study, we showed that CDDP induced activation of autophagy in the auditory cell HEI-OC1 at the early stage. We then used rapamycin, an autophagy activator, to increase the autophagy activity, and found that the cell death significantly decreased after CDDP injury. In contrast, treatment with the autophagy inhibitor 3-methyladenine (3-MA) significantly increased cell death. In accordance with in vitro results, rapamycin alleviated CDDP-induced death of hair cells in zebrafish lateral line and cochlear hair cells in mice. Notably, we found that CDDP-induced increase of Sirtuin 1 (SIRT1) in the HEI-OC1 cells modulated the autophagy function. The specific SIRT1 activator SRT1720 could successfully protect against CDDP-induced cell loss in HEI-OC1 cells, zebrafish lateral line, and mice cochlea. These findings suggest that SIRT1 and autophagy activation can be suggested as potential therapeutic strategies for the treatment of CDDP-induced ototoxicity.",0,1,1,7
33,30733722,BET Bromodomain Inhibitors Which Permit Treg Function Enable a Combinatorial Strategy to Suppress GVHD in Pre-clinical Allogeneic HSCT.,"A recent approach for limiting production of pro-inflammatory cytokines has been to target bromodomain and extra-terminal (BET) proteins. These epigenetic readers of histone acetylation regulate transcription of genes involved in inflammation, cardiovascular disease, and cancer. Development of BET inhibitors (BETi) has generated enormous interest for their therapeutic potential. Because inflammatory signals and donor T cells promote graft-versus-host disease (GVHD), regulating both pathways could be effective to abrogate this disorder. The objective of the present study was to identify a BETi which did not interfere in vivo with CD4+FoxP3+ regulatory T cell (Treg) expansion and function to utilize together with Tregs following allogeneic hematopoietic stem cell transplantation (aHSCT) to ameliorate GVHD. We have reported that Tregs can be markedly expanded and selectively activated with increased functional capacity by targeting TNFRSF25 and CD25 with TL1A-Ig and low dose IL-2, respectively. Here, mice were treated over 7 days (TL1A-Ig + IL-2) together with BETi. We found that the BETi EP11313 did not decrease frequency/numbers or phenotype of expanded Tregs as well as effector molecules, such as IL-10 and TGF-β. However, BETi JQ1 interfered with Treg expansion and altered subset distribution and phenotype. Notably, in Treg expanded mice, EP11313 diminished tnfa and ifng but not il-2 RNA levels. Remarkably, Treg pSTAT5 expression was not affected by EP11313 supporting the notion that Treg IL-2 signaling remained intact. MHC-mismatched aHSCT (B6 → BALB/c) was performed using in vivo expanded donor Tregs with or without EP11313 short-term treatment in the recipient. Early post-transplant, improvement in the splenic and LN CD4/CD8 ratio along with fewer effector cells and high Treg levels in aHSCT recipients treated with expanded Tregs + EP11313 was detected. Interestingly, this group exhibited a significant diminution of GVHD clinical score with less skin and ocular involvement. Finally, using low numbers of highly purified expanded Tregs, improved clinical GVHD scores were observed in EP11313 treated recipients. In total, we conclude that use of this novel combinatorial strategy can suppress pre-clinical GVHD and posit, in vivo EP11313 treatment might be useful combined with Treg expansion therapy for treatment of diseases involving inflammatory responses.",1,0,1,8
13,30687643,TLR3 Is a Negative Regulator of Immune Responses Against Paracoccidioides brasiliensis.,"Toll-like receptors (TLRs) comprise the best-characterized pattern-recognition receptor (PRR) family able to activate distinct immune responses depending on the receptor/adaptor set assembled. TLRs, such as TLR2, TLR4 and TLR9, and their signaling were shown to be important in Paracoccidioides brasiliensis infections. However, the role of the endosomal TLR3 in experimental paracoccidioidomycosys remains obscure. In vitro assays, macrophages of the bone marrow of WT or TLR3-/- mice were differentiated for evaluation of their microbicidal activity. In vivo assays, WT or TLR3-/- mice were infected intratracheally with Paracoccidioides brasiliensis yeasts for investigation of the lung response type induced. The cytotoxic activity of CD8+ T cells was assessed by cytotoxicity assay. To confirm the importance of CD8+ T cells in the control of infection in the absence of tlr3, a depletion assay of these cells was performed. Here, we show for the first time that TLR3 modulate the infection against Paracoccidioides brasiliensis by dampening pro-inflammatory response, NO production, IFN+CD8+T, and IL-17+CD8+T cell activation and cytotoxic function, associated with granzyme B and perforin down regulation. As conclusion, we suggest that TLR3 could be used as an escape mechanism of the fungus in an experimental paracoccidioidomycosis.",1,0,1,9
8,30687029,The Expression of Transcription Factors Mecp2 and CREB Is Modulated in Inflammatory Pelvic Pain.,"Early activation of transcription factors is one of the epigenetic mechanisms contributing to the induction and maintenance of chronic pain states. Previous studies identified the changes in a number of nociception-related genes, such as calcitonin gene-related peptide (CGRP), substance P (SP), and brain-derived neurotropic factor (BDNF) in the pelvic organs after transient colonic inflammation. The gene and protein expression of these neuropeptides could be modulated by transcription factors Methyl-CpG-binding protein 2 (Mecp2) and cAMP response element-binding protein (CREB). In this study, we aimed to evaluate time-dependent changes in the expression levels of Mecp2 and CREB in the lumbosacral (LS) spinal cord and sensory ganglia after inflammation-induced pelvic pain in rat. Adult Sprague-Dawley rats were treated with 2,4,6-trinitrobenzenesulfonic acid (TNBS) to induce transient colonic inflammation. LS (L6-S2) spinal cord segments and respective dorsal root ganglias (DRGs) were isolated from control and experimental animals at 1, 2, 6, 24 h and 3 days post-TNBS treatment. Immunohistochemical (IHC) labeling and Western blotting experiments were performed to assess the expression of Mecp2, CREB and their phosphorylated forms. Total Mecp2 expression, but not phosphorylated p-Mecp2 (pS421Mecp2) expression was detected in the cells of the spinal dorsal horn under control conditions. Colonic inflammation triggered a significant decrease in the number of Mecp2-expressing neurons in parallel with elevated numbers of pS421Mecp2-expressing cells at 2 h and 6 h post-TNBS. The majority of Mecp2-positive cells (80 ± 6%) co-expressed CREB. TNBS treatment caused a transient up-regulation of CREB-expressing cells at 1 h post-TNBS only. The number of cells expressing phosphorylated CREB (pS133CREB) did not change at 1 h and 2 h post-TNBS, but was down-regulated by three folds at 6 h post-TNBS. Analysis of DRG sections revealed that the number of Mecp2-positive neurons was up-regulated by TNBS treatment, reaching three-fold increase at 2 h post-TNBS, and eight-fold increase at 6 h post-TNBS (p ≤ 0.05 to control). These data showed early changes in Mecp2 and CREB expression in the dorsal horn of the spinal cord and sensory ganglia after colonic inflammation, suggesting a possible contribution Mecp2 and CREB signaling in the development of visceral hyperalgesia and pelvic pain following peripheral inflammation.",1,0,1,10
