pmid	title	abstract	included_c	included_w
30569036	Evaluation of a multi-level intervention to improve postpartum intrauterine device services in Rwanda.	Background. The copper intrauterine device is one of the most safe, effective, and cost-effective methods for preventing unintended pregnancy. It can be used postpartum irrespective of breastfeeding to improve birth spacing and reduce unintended pregnancy and maternal-child mortality. However, this method remains highly underutilized. Methods. We developed a multi-level intervention to increase uptake of the postpartum intrauterine device (PPIUD, defined as insertion up to six weeks post-delivery) in Kigali, Rwanda. High-volume hospitals and health centers were selected for implementation of PPIUD counseling and service delivery. Formative work informed development of a PPIUD counseling flipchart to be delivered during antenatal care, labor and delivery, infant vaccination visits, or in the community. Two-day didactic counseling, insertion/removal, and follow-up trainings were provided to labor and delivery and family planning nurses followed by a mentored practicum certification process. Counseling data were collected in government clinic logbooks. Insertions and follow-up data were collected in logbooks created for the implementation. Data were collected by trained government clinic staff and abstracted/managed by study staff. Stakeholders were involved from intervention development through dissemination of results. Results. Two hospitals (and their two associated health centers) and two additional health centers were selected. In 6-months prior to our intervention, 7.7 PPIUDs/month were inserted on average at the selected facilities. From August 2017-July 2018, we trained 83 counselors and 39 providers to provide PPIUD services. N=9,020 women received one-on-one PPIUD counseling after expressing interest in family planning who later delivered at a selected health facility. Of those, n=2,575 had PPIUDs inserted (average of 214.6 insertions/month), a 29% uptake. Most PPIUDs (62%) were inserted within 10 minutes of delivery of the placenta. Conclusions. This successful, comprehensive intervention has the potential to make a significant impact on PPIUD uptake in Rwanda. The intervention is scalable and adaptable to other sub-Saharan African countries.	1	0
30569038	A novel nano-iron supplement to safely combat iron deficiency and anaemia in young children: The IHAT-GUT double-blind, randomised, placebo-controlled trial protocol.	Background: Iron deficiency and its associated anaemia (IDA) are the leading forms of micronutrient malnutrition worldwide. Here we describe the rationale and design of the first clinical trial evaluating the efficacy and safety of an innovative nano iron supplement, iron hydroxide adipate tartrate (IHAT), for the treatment of IDA in young children (IHAT-GUT trial). Oral iron is often ineffective due to poor absorption and/or gastrointestinal adverse effects. IHAT is novel since it is effectively absorbed whilst remaining nanoparticulate in the gut, therefore should enable supplementation with fewer symptoms. Methods: IHAT-GUT is a three-arm, double-blind, randomised, placebo-controlled phase II trial conducted in Gambian children 6-35 months of age. The intervention consists of a 12-week supplementation with either IHAT, ferrous sulphate (both at doses bioequivalent to 12.5 mg Fe/day) or placebo. The trial aims to include 705 children with IDA who will be randomly assigned (1:1:1) to each arm. The primary objectives are to test non-inferiority of IHAT in relation to ferrous sulphate at treating IDA, and to test superiority of IHAT in relation to ferrous sulphate and non-inferiority in relation to placebo in terms of diarrhoea incidence and prevalence. Secondary objectives are mechanistic assessments, to test whether IHAT reduces the burden of enteric pathogens, morbidity, and intestinal inflammation, and that it does not cause detrimental changes to the gut microbiome, particularly in relation to Lactobacillaceae, Bifidobacteriaceae and Enterobacteriaceae. Discussion: This trial will test the hypothesis that supplementation with IHAT eliminates iron deficiency and improves haemoglobin levels without inducing gastrointestinal adverse effects. If shown to be the case, this would open the possibility for further testing and use of IHAT as a novel iron source for micronutrient intervention strategies in resource-poor countries, with the ultimate aim to help reduce the IDA global burden. Registration: This trial is registered at clinicaltrials.gov ( NCT02941081).	0	1
30671260	Short-Term Effects of Overnight Orthokeratology on Corneal Sensitivity in Chinese Children and Adolescents.	To assess the effects of the 3-month period of orthokeratology (OK) treatment on corneal sensitivity in Chinese children and adolescents. Thirty subjects wore overnight OK lenses in both eyes for 3 months and were assessed at baseline, 1 day, 1 week, 1 month, and 3 months after the treatment. Changes in corneal sensitivity were measured by the Cochet-Bonnet (COBO) esthesiometer at the corneal apex and approximately 2 mm from the temporal limbus. Changes in refraction and corneal topography were also measured. Central corneal sensitivity suffered a significant reduction within the first month of the OK treatment period but returned to the baseline level at three months (F = 3.009, P=0.039), while no statistically significant difference occurred in temporal sensitivity (F = 2.462, P=0.074). The baseline of central corneal sensitivity correlated with age (r = -0.369, P=0.045). A marked change in refraction (uncorrected visual acuity, P < 0.001; spherical equivalent, P < 0.001) and corneal topographical condition (mean keratometry reading, P < 0.001; eccentricity value, P < 0.001; Surface Regularity Index, P < 0.001) occurred, but none of these measurements were correlated with corneal sensitivity. A 3-month period OK treatment causes a reduction in central corneal sensitivity in Chinese children and adolescents but with a final recovery to the baseline level, which might be because neuronal adaptation occurred earlier in children and adolescents than in adults.	1	0
30671261	Longitudinal Change in Peripheral Anterior Chamber Depth of Eyes with Angle Closure after Laser Iridotomy.	To investigate longitudinal changes in peripheral anterior chamber depth (pACD) of eyes with angle closure after laser iridotomy (LI) and factors related to prognosis. Retrospective cohort study. Eyes with primary angle closure (PAC), acute PAC, or chronic angle closure glaucoma (CACG) that underwent LI (LI group) and eyes that underwent phacoemulsification and intraocular lens insertion (PEA + IOL group) were employed. Longitudinal changes in pACD were evaluated with a scanning peripheral anterior chamber depth analyzer (SPAC) in addition to routine ophthalmic examination. Forty-eight eyes of LI groups (69.8 ± 8.5 years) and 21 eyes of PEA + IOL group (65.6 ± 12.7 years) were enrolled. Mean follow-up times of LI group and PEA + IOL group were 43.4 ± 12.7 months and 36.5 ± 2.5 months, respectively. LI significantly increased pACD as indicated by the SPAC grade change from 3.8 ± 1.1 to 4.6 ± 1.2 (p < 0.001). However, SPAC grade was gradually reduced and reached the pre-LI level by the third year of follow up. PEA + IOL also significantly increased SPAC grade from 6.7 ± 1.6 to 8.7 ± 2.0 (p < 0.001), but no time-related change was observed. Twenty-three cases of LI group presented with deterioration of glaucoma control. The type of angle closure, plateau iris configuration, peripheral anterior synechia, and glaucomatous visual field defects were significantly associated with prognosis of glaucoma after LI. Peripheral ACD is temporarily deepened by LI, but returns to the pre-LI level in approximately three years. The type of angle closure and some factors may be related to glaucoma prognosis after LI.	1	0
30671456	Kirschner Wire Temporary Intramedullary Fixation Combined with a Locking Anatomical Plate versus a Reconstruction Plate in the Treatment of Comminuted Clavicular Fractures: A Retrospective Study.	We investigate the clinical efficacy of Kirschner wire temporary intramedullary fixation combined with a locking anatomical plate for the treatment of comminuted clavicular fractures. We retrospectively studied 112 patients [80 (71%) men] treated between February 2007 and February 2014. The patients were allocated to treatment with Kirschner wire temporary intramedullary fixation combined with a locking anatomical plate [minimally invasive group (GM)] or a reconstruction plate [traditional group (GT)]. The 112 patients were followed up for 12-48 months (mean, 14 months). The operation time was significantly shorter in GM than in GT. Intraoperative blood loss was significantly less in GM than in GT. The total incision length was significantly shorter and the visual analog scale pain score 24 h after surgery was significantly lower in GM than in GT. Fracture healing time was significantly shorter and the complication rate was significantly lower in GM than in GT. No significant difference in shoulder function score was observed between groups. We recommend Kirschner wire temporary intramedullary fixation combined with a locking anatomical plate as the treatment of choice for comminuted clavicular fractures because of the shorter operation time, lesser intraoperative blood loss, easier reduction of the operation, quicker fracture healing, and lower postoperative complication rate.	1	0
30674762	En bloc resection for intra-abdominal/retroperitoneal desmoid-type fibromatosis with adjacent organ involvement: A case series and literature review.	Surgical treatment for intra-abdominal/retroperitoneal desmoid-type fibromatosis (IA/RPDF) is still controversial. Studies regarding en bloc resection in IA/RPDF with adjacent organ involvement are scanty. This study aims to evaluate the safety and effectiveness of en bloc resection in IA/RPDF with adjacent organ involvement. This retrospective clinical study included 21 patients who were diagnosed with IA/RPDF and underwent tumor resection at a single center between March 2013 and June 2018. All patients included in the study underwent surgery with curative intent, and IA/RPDF with adhesive organs was removed en bloc. The safety of surgical treatment was verified by the analysis of intraoperative bleeding, postoperative morbidity and perioperative mortality. The efficacy of surgical treatment was evaluated based on the status of tumor infiltration of adjacent organs and patient follow-up results. Complete macroscopic (R0 or R1) resection was achieved in all cases. A median of 2 (range, 1-7) organs were resected. The median operating time was 300 (90-650) minutes. The median intraoperative bleeding was 300 (20-4,500) milliliters. For postoperative pathological diagnosis at our center, tumor infiltrated at least one organ in each patient. Infiltration was noted in 45 resected organs (45/57, 78.9%). Grade III-V postoperative morbidity developed in one patient (4.8%). During the follow-up, one patient developed local recurrence. No DF-related death was noted during the follow-up. The 3-year disease-free survival rate was 94.1% (95% confidence interval: 83.6-100%). Therefore, en bloc resection of the tumor and involved adjacent organs is a safe and effective treatment modality for IA/RPDF.	1	0
30675151	Acute Exercise as an Intervention to Trigger Motor Performance and EEG Beta Activity in Older Adults.	Acute bouts of exercise have been shown to improve fine motor control performance and to facilitate motor memory consolidation processes in young adults. Exercise effects might be reflected in EEG task-related power (TRPow) decreases in the beta band (13-30 Hz) as an indicator of active motor processing. This study aimed to investigate those effects in healthy older adults. Thirty-eight participants (65-74 years of age) were assigned to an experimental (EG, acute exercise) or a control group (CG, rest). Fine motor control was assessed using a precision grip force modulation (FM) task. FM performance and EEG were measured at (1) baseline (immediately before acute exercise/rest), (2) during practice sessions immediately after, (3) 30 minutes, and (4) 24 hours (FM only) after exercise/rest. A marginal significant effect indicated that EG revealed more improvement in fine motor performance immediately after exercise than CG after resting. EG showed enhanced consolidation of short-term and long-term motor memory, whereas CG revealed only a tendency for short-term motor memory consolidation. Stronger TRPow decreases were revealed immediately after exercise in the contralateral frontal brain area as compared to the control condition. This finding indicates that acute exercise might enhance cortical activation and thus, improves fine motor control by enabling healthy older adults to better utilize existing frontal brain capacities during fine motor control tasks after exercise. Furthermore, acute exercise can act as a possible intervention to enhance motor memory consolidation in older adults.	1	0
30677274	[The detection of cortisol level in blood plasma of patients with arterial hypertension at resistance to stress impacts of various degree.]	The analysis was applied to the results of detection of level of cortisol in pre-operational period before planned arthroscopy in 63 patients (aged from 45 to 50 years) with hypertension disease stage I and II with different stress resistance. The stress resistance was detected using such tests as Perceived Stress Scale (PSS) and the Depression, Anxiety and Stress Scale (DASS). In most of patients, the analysis of results of testing demonstrated an average level of stress and and average anxiety before the operation. 20 stress resistant patients and 43 stress non-resistant patients were picked out. The level of cortisol in pre-operational period turned out reliably higher in patients with low stress resistance. The data analysis according results of day monitoring of blood pressure prior to implementation of arthroscopy established that in stress non-resistant patients a more expressed increasing of velocity of morning rising of systolic and diastolic blood pressure as compared to stress resistant patients. After surgical intervention, velocities of morning rising of systolic and diastolic blood pressure also were higher in stress non-resistant patients. They also had lower values of day index of systolic blood pressure (non-dipper). In stress resistant patients, day index of systolic blood pressure before and after was within the limits of standard values. The average values of systolic and diastolic blood pressure registered within limits of on standard values. However, they were higher in pre- and post-operational periods among patients with low stress resistance. The received results reflect alteration of function of cardio-vascular system in response to psychological stress that is more expressed in patients with low stress resistance.	1	0
30680229	Radical prostatectomy performed via robotic, transperitoneal and extraperitoneoscopic approaches: functional and early oncological outcomes.	Oncological remission along with high postoperative functionality [continence and erectile function (EF)] are the main aspects of prostate cancer (PCa) treatment. The aim of this study was to compare functional and oncological treatment results achieved after a nerve-sparing radical prostatectomy (RP) via transperitoneal (TPRP), extraperitoneal (EPRP) and robot-assisted (RARP) approach. From March 2015 to March 2016, 507 RP were performed at the Institute for Urology and Reproductive Health (Moscow, Russia). A total of 264 patients with localized (cТ1а-2с) prostate cancer [prostate-specific antigen (PSA) <20 ng/ml, Gleason score ≤7], intact prostate capsule (according to MRI), International Index of Erectile Function (IIEF-5) ≥19 and a life expectancy >10 years were included into the retrospective study. All the surgeries were performed by a single surgeon. The outcomes were evaluated after urethral catheter removal and 3-6-12 months after RP. Nerve preservation (NP) was performed for 153 patients without significant distinctions in time (р = 0.064) and blood loss (р = 0.073). The International Consultation on Incontinence Questionnaire-Urinary Incontinence Short Form (ICIQ-SF) score was lower for NP: 9.23 ±6.59 and 3.86 ±5.38 after 3 and 12 months respectively compared with continence after RP without nerve preservation (NP): 14.27 ±5.1 vs. 6.15 ±4.76 (р <0.001). Continent was 52.2% vs. 83.3% vs. 81.8% in TPRP, RARP and EPRP groups; р <0.001. IIEF-5 scores were 14.67 ±9.4, 4.2 ±4.26 and 4.0 ±2.07 after RARP, TPRP and EPRP respectively (р = 0.002). After 12 months the PSA: TPRP = 0.11 ±0.19, RARP = 0.03 ±0.05 and EPRP = 0.53 ±1.87 ng/ml (р <0.001). Outcomes depend on surgical approach and was better in the RARP-group (AUC = 0.768 ±0.034 (CI 95% 0,701-0.834; р <0.001). We suggest RARP with NP as a method of choice for treatment of prostate cancer in patients interested in preservation of EF and quality of life in general.	1	0
30684325	Chronic systemic inflammation in the pathogenesis of comorbid pathology and it's correction.	Introduction: The paper presents the findings of our own study on the changes of the systemic inflammation in patients with type 2 diabetes mellitus (DM2) and ischemic heart disease (IHD) during the combination treatment with metformin and pioglitazone. The aim of the paper is to define the dynamics of the systemic inflammation in patients with type 2 diabetes mellitus and ischemic heart disease in combination treatment with metformin and pioglitazone. Meterials and methods: 95 patients with IHD concomitant with DM2 have been treated. Patients, enrolled into study, have been randomized into 2 groups: the comparison group (n=37) treated with metformin andsulphonylureas, and the study group (n=58) treated with metformin and pioglitazone. The proposed course of therapy lasted 6 months. Results and conclusions: Before, after 3 and 6 months of treatment the control over the state of inflammatory responses was made and C-reactive protein, tumor necrosis factor-alpha, Interleukin-6 was assessed. The resulting data confirmed a statistically significant reduction under the effect of the combined treatment with the proposed combination of marker drugs and the degree of chronic systemic inflammation that is specific for IHD and DM2, which has a positive impact on the development and progress of IHD in DM2 patients, is well tolerated and can be considered as a pathogenic factor in the therapy of the presented comorbid nosologies.	1	0
