pmid	included_c	included_w
29984358	NA	NA
29984360	0	NA
30234193	NA	NA
30234198	NA	NA
30271589	NA	NA
30271590	1	1
30271887	NA	0
30345386	NA	NA
30363398	NA	NA
30363869	NA	NA
30410729	NA	NA
30473778	NA	NA
30483602	NA	NA
30498791	0	NA
30542663	NA	NA
30542665	NA	NA
30569033	NA	NA
30569036	NA	NA
30569037	NA	NA
30569038	NA	NA
30596205	NA	NA
30607370	NA	0
30607371	NA	NA
30613395	NA	NA
30613398	NA	NA
30631442	1	1
30631443	NA	NA
30647907	NA	NA
30662958	NA	NA
30671082	NA	0
30671083	NA	NA
30671084	NA	NA
30671085	NA	NA
30671093	NA	NA
30671095	NA	NA
30671097	NA	NA
30671124	NA	NA
30671125	NA	0
30671126	NA	NA
30671127	1	1
30671128	NA	NA
30671129	NA	NA
30671130	NA	NA
30671131	NA	NA
30671132	NA	NA
30671168	NA	NA
30671169	NA	NA
30671170	NA	NA
30671171	NA	NA
30671172	NA	NA
30671173	0	NA
30671174	NA	0
30671175	NA	NA
30671176	NA	NA
30671255	NA	NA
30671256	NA	NA
30671257	NA	NA
30671258	NA	0
30671260	NA	NA
30671261	NA	NA
30671262	NA	NA
30671263	NA	NA
30671264	NA	NA
30671265	NA	0
30671266	NA	NA
30671267	NA	NA
30671268	NA	NA
30671269	NA	NA
30671270	NA	NA
30671271	NA	NA
30671272	NA	NA
30671273	NA	NA
30671274	NA	NA
30671275	NA	NA
30671276	NA	NA
30671277	NA	NA
30671278	NA	NA
30671332	NA	NA
30671333	NA	NA
30671334	NA	NA
30671335	NA	NA
30671336	NA	NA
30671382	NA	NA
30671383	NA	NA
30671384	0	0
30671385	NA	NA
30671386	NA	NA
30671387	NA	NA
30671424	NA	NA
30671425	NA	0
30671426	NA	NA
30671427	NA	NA
30671428	NA	NA
30671429	NA	NA
30671430	NA	NA
30671431	NA	NA
30671432	NA	NA
30671433	NA	NA
30671435	NA	NA
30671436	NA	0
30671437	NA	NA
30671438	NA	0
30671439	NA	NA
30671441	NA	NA
30671442	NA	NA
30671443	NA	0
30671444	NA	NA
30671445	NA	NA
30671446	NA	NA
30671447	NA	NA
30671449	NA	NA
30671450	NA	NA
30671451	NA	NA
30671452	NA	NA
30671453	NA	NA
30671454	NA	NA
30671455	NA	NA
30671456	NA	NA
30671457	NA	NA
30671458	NA	NA
30671459	NA	NA
30671461	NA	NA
30671462	NA	NA
30671463	NA	NA
30671464	NA	NA
30671465	NA	NA
30671466	NA	0
30671467	NA	NA
30671468	NA	NA
30671469	NA	NA
30671470	NA	NA
30671471	NA	NA
30671472	NA	NA
30671473	NA	NA
30671474	0	NA
30671475	0	0
30671477	1	1
30671478	NA	NA
30671479	NA	NA
30671480	NA	NA
30671481	NA	NA
30671482	NA	NA
30671483	0	NA
30671484	NA	NA
30671485	NA	NA
30671486	NA	NA
30671487	NA	NA
30671488	NA	NA
30671538	NA	NA
30671539	NA	NA
30671540	NA	NA
30671541	NA	NA
30671542	NA	NA
30671543	NA	NA
30672351	NA	NA
30672361	NA	NA
30672410	NA	NA
30672411	NA	NA
30672669	NA	NA
30672670	NA	NA
30672671	NA	NA
30672672	NA	NA
30672673	NA	NA
30672674	NA	NA
30672675	NA	NA
30672676	NA	NA
30672677	NA	NA
30672678	NA	NA
30672679	NA	NA
30672711	NA	NA
30673191	NA	NA
30673192	NA	NA
30673193	NA	NA
30673194	NA	NA
30673195	NA	NA
30673196	NA	NA
30673197	NA	NA
30673198	NA	NA
30673199	NA	NA
30673200	NA	0
30673201	NA	NA
30673446	NA	NA
30673447	NA	NA
30673448	NA	NA
30673449	NA	NA
30673450	NA	NA
30673451	NA	NA
30673452	NA	NA
30673453	NA	NA
30673454	NA	NA
30673455	NA	NA
30673456	NA	NA
30673457	NA	NA
