pmid	title	abstract	included_c	included_w
30671424	Scoping Review of Pediatric Early Warning Systems (PEWS) in Resource-Limited and Humanitarian Settings.	Pediatric Early Warning Systems (PEWS) aim to identify hospitalized children at increased risk of deterioration by assigning a score based on vital signs and clinical status and guiding interventions using a response algorithm to improve outcomes. When implemented with quality improvement methodology, these systems have been shown to be effective in high-resource settings and have the potential to improve the care of children in humanitarian and resource-limited settings (RLS). The purpose of this review is to summarize the current evidence for use of PEWS in RLS and identify areas for further research. A review of the current PEWS literature in RLS was performed using Web of Science, PubMed, Scopus, Cumulative Index of Nursing and Allied Health Literature (CINAHL), EMBASE, Portal Regional da BVS, and TRIP Database. While there is limited research available on this topic, eight studies on the use of PEWS, or a PEWS score in a pediatric population in low- or middle-income countries were identified. Two studies assessed the clinical effect of implementation of PEWS; one reported a reduction in clinical deterioration events and the other a reduction in mortality. The remaining studies assessed the association of a PEWS score with signs of clinical deterioration or mortality without a response algorithm. Further research on the impact of PEWS implementation on inpatient care and outcomes in RLS is needed.	1	0
30672351	Quality of Life and Depression in Turkish Patients with β-Thalassemia Major: A Cross-Sectional Study.	Thalassemias are the most common monogenic disorders worldwide. Thalassemia patients experience difficulties in their schooling, finding jobs and/or marriage because of functional and physical limitations caused by this disease. It is expected that the quality of life (QoL) of patients with thalassemia will be lower than those without this disease. The aim of this study was to benefit worldwide thalassemia patients in terms of QoL and mental health. This cross-sectional study was performed in Turkey. The study population consisted of of 57 β-thalassemia major (β-TM) patients and the control group. The short form-36 (SF-36) questionnaire and Beck depression inventory (BDI) were used. The mean age of the patients was 21.6 ± 6.6 (age range 15-39) and the male-to-female ratio was 0.7. The mean SF-36 scores of the patient and the control groups were 59.2 ± 12.4 and 75.7 ± 11.8, and the mean BDI scores of the patients and controls were 13.5 ± 6.4 and 6.1 ± 3.7, respectively. There was a statistically significant difference between the total SF-36 and BDI scores of patients and controls. We aimed to investigate the effects of the decrease in morbidity and mortality of β-thalassemia (β-thal) due to regular transfusions and chelation therapy on the QoL and mental health of patients. The β-TM patients have a comparatively worse QoL score than the normal population. Improving QoL should be the target of clinicians who are monitoring adolescent or young adult β-TM patients.	0	1
30687040	Behind the Scenes of Developmental Language Disorder: Time to Call Neuropsychology Back on Stage.	Although the Developmental Language Disorder (DLD), also known as Specific Language Impairment in children has been the focus of unceasing scientific attention for decades, the nature and mechanisms of this disorder remain unclear. Most importantly, we still cannot reliably identify children requiring urgent intervention among other 'late talkers' at an early age and understand the high prevalence of comorbidity with psychiatric phenomena such as Autism Spectrum Disorder. One of the main reasons for this is the traditional 'diagnosis-by-exclusion,' resulting in heterogeneity of the DLD population. This paper proposes an alternative approach to the diagnosis, treatment and research of DLD, claiming that it is these children's multiple deficits in neuropsychological development, which impede the spontaneous acquisition of their first language. Specifically, this review of the state-of-the-art in DLD research demonstrates deep and systematic interconnections between the speech and other higher cognitive functions developing in early childhood, including perception, attention and executive functions. In the proposed framework, speech is, therefore, considered as one of neuropsychological abilities, and the delay in its development is explained by other neuropsychological deficits, resulting in highly individual clinical profiles. By considering DLD as a complex neuropsychological syndrome, whose successful treatment depends on a holistic approach to diagnosis and intervention, we may significantly increase the efficacy of speech therapy, and also better understand the flexibility of the developing brain, its compensatory mechanisms and hence the comorbidity of DLD with psychiatric symptoms. Implications for using this paradigm in future scientific research are discussed.	1	0
30687520	Are parenting practices associated with the same child outcomes in sub-Saharan African countries as in high-income countries? A review and synthesis.	There is increasing interest in the transferability of parenting interventions from high-income countries (HICs) to low-income countries (LICs) in order to improve child development and health outcomes. This is based on the premise that associations between parenting practices and child outcomes are similar in both settings. Many parenting interventions in HICs are evidence-based, but less evidence exists on associations of parenting practices with child outcomes in LICs, in particular, sub-Saharan African (SSA) countries. This review synthesises evidence on the association of parenting practices with child outcomes in SSA in order to compare findings with those from HICs. We searched electronic databases-Web of Science, ASSIA, Embase, IBSS and PsycINFO-to identify studies from SSA that reported quantitative associations between parenting practices and child health or psychosocial outcomes (eg, sexual and reproductive health (SRH), mental health, conduct disorders). Due to inconsistent conceptual framing of parenting across studies, we used a modified version of the international WHO classification of parenting dimensions to guide synthesis of the results. Forty-four studies met our inclusion criteria. They were conducted in 13 SSA countries and included cross-sectional and longitudinal studies, and were predominantly descriptive studies rather than intervention research. Synthesis of results showed that associations between patterns of parenting ('positive'/'harsh') and child outcomes (including SRH, mental health and conduct disorders) in studies from SSA were broadly similar to those found in HICs. These findings suggest that the impacts of parenting practices on child outcomes are similar across contrasting global regions and, therefore, parenting interventions from HICs might be successfully transferred to SSA, subject to appropriate adaptation. However, this review also highlights the paucity of evidence in this area and the urgent need for higher quality studies to confirm these findings to help develop effective parenting interventions in SSA.	1	0
30687684	Understanding Family-Level Effects of Adult Chronic Disease Management Programs: Perceived Influences of Behavior Change on Adolescent Family Members' Health Behaviors Among Low-Income African Americans With Uncontrolled Hypertensions.	Background: Despite improvements in cardiovascular disease (CVD) prevention and treatment, low-income African Americans experience disparities in CVD-related morbidity and mortality. Childhood obesity disparities and poor diet and physical activity behaviors contribute to CVD disparities throughout the life course. Given the potential for intergenerational transmission of CVD risk, it is important to determine whether adult disease management interventions could be modified to achieve family-level benefits and improve primary prevention among high-risk youth. Objective: To explore mechanisms by which African-American adults' (referred to as index patients) participation in a hypertension disease management trial influences adolescent family members' (referred to as adolescents) lifestyle behaviors. Design/Methods: The study recruited index patients from the Achieving blood pressure Control Together (ACT) study who reported living with an adolescent ages 12-17 years old. Index patients and adolescents were recruited for in-depth interviews and were asked about any family-level changes to diet and physical activity behaviors during or after participation in the ACT study. If family-level changes were described, index patients and adolescents were asked whether role modeling, changes in the home food environment, meal preparation, and family functioning contributed to these changes. These mechanisms were hypothesize to be important based on existing research suggesting that parental involvement in childhood obesity interventions influences child and adolescent weight status. Thematic content analysis of transcribed interviews identified both a priori and emergent themes. Results: Eleven index patients and their adolescents participated in in-depth interviews. Index patients and adolescents both described changes to the home food environment and meal preparation. Role modeling was salient to index patients, particularly regarding healthy eating behaviors. Changes in family functioning due to study participation were not endorsed by index patients or adolescents. Emergent themes included adolescent care-taking of index patients and varying perceptions by index patients of their influence on adolescents' health behaviors. Conclusions: Our findings suggest that disease management interventions directed at high-risk adult populations may influence adolescent family members' health behaviors. We find support for the hypotheses that role modeling and changes to the home food environment are mechanisms by which family-level health behavior change occurs. Adolescents' roles as caretakers for index patients emerged as another potential mechanism. Future research should explore these mechanisms and ways to leverage disease management to support both adult and adolescent health behavior change.	0	1
30693309	The relationship between childbearing motivations with fertility preferences and actual child number in reproductive-age women in Mashhad, Iran.	Motivation is directly involved in women's childbearing decision. Considering the lack of information about reproductive-age women's childbearing motivations with preferences and actual child number in Iran, this study was conducted to determine the relationship between childbearing motivations with the fertility preferences and actual child number of reproductive-age women. The participants in this descriptive-correlational study were 844 reproductive-age women (aged 15-49 years) who were married for the first time and came from a wide range of areas in Mashhad. Multistage and convenience samplings were applied and the data were collected using Miller's childbearing motivation and fertility preferences and actual child number questionnaire. The results of the study reveal that positive- and negative-childbearing motivation were correlated with preferences (P < 0.001) but were not correlated with actual child number. Furthermore, the interactional variable derived by a combination of positive and negative motivations showed a significant relationship with the ideal and actual child number (P < 0.05). Childbearing motivations affect the fertility preferences in reproductive-age women but do not appear to have any influence on the actual child number. Furthermore, the interactional variables affect the ideal and actual child number.	0	1
30713408	Partners in School: An Innovative Parent-Teacher Consultation Model for Children with Autism Spectrum Disorder.	Little research examines the best ways to improve communication between parents and teachers of children with Autism Spectrum Disorder (ASD) and its effect on child outcomes. The present study tests an innovative parent-teacher consultation model, entitled Partners in School. The goal of Partners in School is to improve parent-teacher communication aboutevidence-based practices (EBPs), and subsequently, outcomes for children with ASD. Participants were 26 teachers and 49 parents of children with ASD from a large urban public school district. Parents and teachers completed measures of their communication and child outcomes prior to and after receiving consultation through Partners in School. Results indicated that parents and teachers perceived improvements in child outcomes after participation inPartners in School. Changes in parent-teacher communication also were associated with changes in some child outcomes. Discussionhighlights the important role of communication inconsultations targeting family-school partnerships for children with ASD.	0	1
30761275	Potential and Limitations of Atrial Natriuretic Peptide as Biomarker in Pediatric Heart Failure-A Comparative Review.	Although B-type Natriuretic Peptide (BNP), N-terminal-proBNP (NT-proBNP), and mid-regional-proANP (MR-proANP) are included in current guidelines on heart failure in adults, no guideline considering these biomarkers in pediatric heart failure is available. A new drug class of neprilysin inhibitors as fixed-dose combination (Sacubitril/valsartan) has been introduced and is currently being investigated in children suffering from heart failure. Atrial Natriuretic Peptide (ANP) is discussed as a more useful alternative to BNP because it may grants better insights into the effects of this treatment. Thus, this review aimed to provide an overview of the current knowledge concerning ANP in pediatric heart failure and compares its suitability regarding diagnosis and prognosis of heart failure. A literature search using PubMed resulted in 147 publications of which 22 studies were classified as relevant. The review presents available ANP, NT-proANP, and MR-proANP level data in children (0-18 years). Summarizing, ANP shows only minor differences as marker for diagnosing and monitoring pediatric heart failure if compared to BNP. Due to its fast release, ANP offers the advantage of displaying rapid changes during therapy or operation. ANP is -like the other natriuretic peptides- influenced by age, presenting with the highest levels in very young infants. ANP also correlates with atrial pressure and volume overload in children. In addition, ANP determination in saliva appears to be a promising alternative to blood sampling. Similarly to NT-proBNP, NT-proANP, and MR-proANP offer better stability but only few data has been published in children and thus their potential is only presumable so far.	1	0
30768657	Improving pediatric emergency department physicians' adherence to clinical practice guidelines on the diagnosis and management of group A beta-hemolytic streptococcal pharyngitis-a cross-sectional study.	Pharyngitis is one of the major and commonly seen presentations in pediatric emergency departments. While it could be caused by both bacterial and viral pathogens, antibiotics are improperly prescribed regardless of the pathogen. Inappropriate usage of antibiotics has risen the concern of microbial resistance and the need for stricter guidelines. Many guidelines have been validated for this reason, and the Centor score (Modified/McIsaac) is most commonly implemented. This study aims to assess the adherence and enumerate the reasons behind the suboptimal adherence to guidelines (Centor/McIsaac score) of pediatric emergency department physicians in the diagnosis and management of GABHS pharyngitis to lay the groundwork for future actions and to employ educational programs and implement local guidelines for the prevention of the development of multi-drug resistant microorganisms. We surveyed pediatric emergency department physicians of ten teaching hospitals of Riyadh, Saudi Arabia. We used convenient sampling and estimated a sample size of 170 physicians, and interns and medical centers without pediatric emergency department were excluded from the study. Elements of the Centor score (Modified/McIsaac) were used as a part of the assessment of physicians' knowledge of the guidelines. Adherence was assessed by requiring the participants to answer questions regarding their usage of diagnostic means when they suspect a bacterial cause of pharyngitis, as recommended by the guidelines. A total of 243 physicians answered the questionnaire, 43 consultants (17.6%) and 200 non-consultants (82.4%). On the knowledge score, 9.1% scored 0, and the majority of both groups, 46.5%, earned a score of 1. The remainder 44.4%, earned a score of 2. Adherence to guidelines was defined as when diagnostic tests (throat culture or rapid antigen detection test) were always requested prior to prescribing antibiotics when acute bacterial pharyngitis was suspected. Only 27.3% (n = 67) of our sample are adherent to guidelines, whereas the majority, 72.7% (n = 175), are non-adherent. Several factors were assessed as reasons for lack of adherence. Lack of knowledge and adherence to guidelines is prevalent in our setting, with awareness, knowledge, and behavior of physicians playing as major factors behind this low adherence. Studies should aim towards the assessment of adherence towards locally developed guidelines.	0	1
30774282	The Impact of Housing Instability on Child Maltreatment: A Causal Investigation.	More than a half million children are confirmed as victims of maltreatment by the child welfare system each year. Children from unstably housed families are over-represented in child mal-treatment reports, and a growing body of evidence links housing problems to maltreatment and Child Protective Services (CPS); investigation. The present study applies two propensity score analysis approaches-greedy matching and propensity score weighting-to data from the Fragile Families and Child Well-being Study to move toward a causal explanation of child mal-treatment behaviors among mothers in low-income households. Utilizing two separate methods to correct for overt selection bias, the present study finds that housing instability leads to a small increase in maltreatment behaviors, yet this small positive net impact on child maltreatment does not fully explain the over-representation of unstably housed families in the child welfare system. Families experiencing housing problems likely have a range of needs that require earlier, targeted intervention to mitigate consequences of poverty, domestic violence, and maternal depression. Child welfare services should invest resources in housing assistance programs in-house as well as through partnerships with local public housing authorities to stabilize families, reduce housing-related strain on caregivers, and promote family preservation.	0	1
