"","pubmed_label","pmid"
"1","meta_analysis","31249668"
"2","meta_analysis","30727868"
"3","meta_analysis","30710471"
"4","meta_analysis","30698109"
"5","meta_analysis","30693288"
"6","meta_analysis","30687736"
"7","meta_analysis","30687735"
"8","meta_analysis","30686251"
"9","meta_analysis","30686249"
"10","meta_analysis","30671477"
"11","meta_analysis","30669139"
"12","meta_analysis","30663563"
"13","meta_analysis","30663550"
"14","meta_analysis","30662912"
"15","meta_analysis","30651895"
"16","meta_analysis","30648123"
"17","meta_analysis","30648108"
"18","meta_analysis","30648105"
"19","meta_analysis","30647799"
"20","meta_analysis","30643797"
"21","meta_analysis","30636593"
"22","meta_analysis","30631440"
"23","meta_analysis","30627549"
"24","meta_analysis","30627228"
"25","meta_analysis","30627062"
"26","meta_analysis","30622967"
"27","meta_analysis","30606966"
"28","meta_analysis","30598709"
"29","meta_analysis","30598708"
"30","meta_analysis","30596754"
"31","meta_analysis","30596096"
"32","meta_analysis","30596092"
"33","meta_analysis","30592739"
"34","meta_analysis","30589896"
"35","meta_analysis","30589892"
"36","meta_analysis","30586389"
"37","meta_analysis","30581498"
"38","meta_analysis","30581497"
"39","meta_analysis","30571770"
"40","meta_analysis","30571754"
"41","meta_analysis","30571747"
"42","meta_analysis","30571724"
"43","meta_analysis","30569848"
"44","meta_analysis","30566933"
"45","meta_analysis","30566932"
"46","meta_analysis","30566740"
"47","meta_analysis","30566433"
"48","meta_analysis","30564795"
"49","meta_analysis","30564794"
"50","meta_analysis","30562746"
"51","meta_analysis","30562736"
"52","meta_analysis","30562387"
"53","meta_analysis","30557396"
"54","meta_analysis","30557392"
"55","meta_analysis","30557311"
"56","meta_analysis","30557306"
"57","meta_analysis","30543644"
"58","meta_analysis","30539019"
"59","meta_analysis","30539010"
"60","meta_analysis","30538784"
"61","meta_analysis","30538443"
"62","meta_analysis","30534560"
"63","meta_analysis","30534554"
"64","meta_analysis","30533427"
"65","meta_analysis","30533015"
"66","meta_analysis","30533009"
"67","meta_analysis","30532521"
"68","meta_analysis","30532233"
"69","meta_analysis","30532112"
"70","meta_analysis","30521600"
"71","meta_analysis","30521577"
"72","meta_analysis","30519579"
"73","meta_analysis","30507962"
"74","meta_analysis","30507942"
"75","meta_analysis","30504699"
"76","meta_analysis","30517929"
"77","meta_analysis","30517919"
"78","meta_analysis","30517917"
"79","meta_analysis","30517196"
"80","meta_analysis","30517168"
"81","meta_analysis","30515322"
"82","meta_analysis","30513127"
"83","meta_analysis","30513118"
"84","meta_analysis","30510601"
"85","meta_analysis","30510399"
"86","meta_analysis","30505340"
"87","meta_analysis","30498334"
"88","meta_analysis","30496228"
"89","meta_analysis","30485937"
"90","meta_analysis","30485934"
"91","meta_analysis","30485925"
"92","meta_analysis","30484405"
"93","meta_analysis","30481755"
"94","meta_analysis","30481227"
"95","meta_analysis","30479651"
"96","meta_analysis","30476924"
"97","meta_analysis","30475888"
"98","meta_analysis","30473764"
"99","meta_analysis","30473742"
"100","meta_analysis","30466099"
"101","meta_analysis","30466079"
"102","meta_analysis","30464761"
"103","meta_analysis","30464408"
"104","meta_analysis","30464400"
"105","meta_analysis","30464394"
"106","meta_analysis","30462699"
"107","meta_analysis","30462676"
"108","meta_analysis","30462656"
"109","meta_analysis","30458455"
"110","meta_analysis","30458447"
"111","meta_analysis","30458003"
"112","meta_analysis","30457993"
"113","meta_analysis","30455867"
"114","meta_analysis","30453299"
"115","meta_analysis","30453293"
"116","meta_analysis","30452442"
"117","meta_analysis","30452419"
"118","meta_analysis","30452410"
"119","meta_analysis","30444919"
"120","meta_analysis","30444486"
"121","meta_analysis","30440022"
"122","meta_analysis","30439995"
"123","meta_analysis","30439968"
"124","meta_analysis","30427932"
"125","meta_analysis","30427889"
"126","meta_analysis","30427874"
"127","meta_analysis","30426017"
"128","meta_analysis","30426004"
"129","meta_analysis","30418984"
"130","meta_analysis","30417782"
"131","meta_analysis","30414592"
"132","meta_analysis","30412639"
"133","meta_analysis","30412486"
"134","meta_analysis","30411662"
"135","meta_analysis","30410873"
"136","meta_analysis","30403728"
"137","meta_analysis","30403710"
"138","meta_analysis","30403687"
"139","meta_analysis","30402281"
"140","meta_analysis","30402199"
"141","meta_analysis","30402170"
"142","meta_analysis","30400112"
"143","meta_analysis","30395614"
"144","meta_analysis","30387692"
"145","meta_analysis","30386556"
"146","meta_analysis","30380555"
"147","meta_analysis","30380531"
"148","meta_analysis","30379905"
"149","meta_analysis","30379884"
"150","meta_analysis","30372643"
"151","meta_analysis","30370306"
"152","meta_analysis","30368490"
"153","meta_analysis","30368430"
"154","meta_analysis","30360686"
"155","meta_analysis","30359452"
"156","meta_analysis","30356409"
"157","meta_analysis","30356353"
"158","meta_analysis","30355937"
"159","meta_analysis","30355925"
"160","meta_analysis","30352660"
"161","meta_analysis","30352097"
"162","meta_analysis","30352083"
"163","meta_analysis","30352012"
"164","meta_analysis","30349908"
"165","meta_analysis","30349230"
"166","meta_analysis","30349228"
"167","meta_analysis","30349218"
"168","meta_analysis","30345301"
"169","meta_analysis","30342562"
"170","meta_analysis","30339679"
"171","meta_analysis","30339676"
"172","meta_analysis","30338730"
"173","meta_analysis","30336463"
"174","meta_analysis","30335861"
"175","meta_analysis","30335792"
"176","meta_analysis","30335780"
"177","meta_analysis","30332942"
"178","meta_analysis","30332485"
"179","meta_analysis","30327689"
"180","meta_analysis","30325944"
"181","meta_analysis","30323563"
"182","meta_analysis","30323559"
"183","meta_analysis","30321243"
"184","meta_analysis","30321198"
"185","meta_analysis","30320579"
"186","meta_analysis","30318063"
"187","meta_analysis","30312319"
"188","meta_analysis","30312295"
"189","meta_analysis","30311579"
"190","meta_analysis","30311565"
"191","meta_analysis","30308042"
"192","meta_analysis","30307953"
"193","meta_analysis","30307758"
"194","meta_analysis","30303972"
"195","meta_analysis","30303966"
"196","meta_analysis","30302341"
"197","meta_analysis","30300401"
"198","meta_analysis","30300377"
"199","meta_analysis","30297980"
"200","meta_analysis","30293075"
"201","meta_analysis","30292089"
"202","meta_analysis","30289928"
"203","meta_analysis","30288257"
"204","meta_analysis","30288021"
"205","meta_analysis","30286463"
"206","meta_analysis","30286122"
"207","meta_analysis","30283455"
