"","pubmed_label","pmid"
"1","randomized controlled trial","31372210"
"2","randomized controlled trial","30863532"
"3","randomized controlled trial","30815063"
"4","randomized controlled trial","30793875"
"5","randomized controlled trial","30792988"
"6","randomized controlled trial","30728950"
"7","randomized controlled trial","30731451"
"8","randomized controlled trial","30728951"
"9","randomized controlled trial","30721208"
"10","randomized controlled trial","30721201"
"11","randomized controlled trial","30721181"
"12","randomized controlled trial","30715932"
"13","randomized controlled trial","30714984"
"14","randomized controlled trial","30714388"
"15","randomized controlled trial","30702226"
"16","randomized controlled trial","30698538"
"17","randomized controlled trial","30687550"
"18","randomized controlled trial","30684325"
"19","randomized controlled trial","30662575"
"20","randomized controlled trial","30662456"
"21","randomized controlled trial","30662380"
"22","randomized controlled trial","30652031"
"23","randomized controlled trial","30651946"
"24","randomized controlled trial","30648112"
"25","randomized controlled trial","30647912"
"26","randomized controlled trial","30645153"
"27","randomized controlled trial","30643809"
"28","randomized controlled trial","30631386"
"29","randomized controlled trial","30630184"
"30","randomized controlled trial","30628540"
"31","randomized controlled trial","30626197"
"32","randomized controlled trial","30626196"
"33","randomized controlled trial","30625492"
"34","randomized controlled trial","30624128"
"35","randomized controlled trial","30621562"
"36","randomized controlled trial","30615795"
"37","randomized controlled trial","30614403"
"38","randomized controlled trial","30600754"
"39","randomized controlled trial","30598705"
"40","randomized controlled trial","30596775"
"41","randomized controlled trial","30596749"
"42","randomized controlled trial","30596746"
"43","randomized controlled trial","30596721"
"44","randomized controlled trial","30596708"
"45","randomized controlled trial","30596696"
"46","randomized controlled trial","30596666"
"47","randomized controlled trial","30596649"
"48","randomized controlled trial","30592848"
"49","randomized controlled trial","30592751"
"50","randomized controlled trial","30592726"
"51","randomized controlled trial","30592724"
"52","randomized controlled trial","30589889"
"53","randomized controlled trial","30589048"
"54","randomized controlled trial","30589043"
"55","randomized controlled trial","30588201"
"56","randomized controlled trial","30587955"
"57","randomized controlled trial","30587918"
"58","randomized controlled trial","30586441"
"59","randomized controlled trial","30586365"
"60","randomized controlled trial","30586364"
"61","randomized controlled trial","30585526"
"62","randomized controlled trial","30585267"
"63","randomized controlled trial","30584461"
"64","randomized controlled trial","30584459"
"65","randomized controlled trial","30584293"
"66","randomized controlled trial","30584292"
"67","randomized controlled trial","30584287"
"68","randomized controlled trial","30581173"
"69","randomized controlled trial","30580857"
"70","randomized controlled trial","30576336"
"71","randomized controlled trial","30576330"
"72","randomized controlled trial","30574609"
"73","randomized controlled trial","30574603"
"74","randomized controlled trial","30571753"
"75","randomized controlled trial","30571697"
"76","randomized controlled trial","30566731"
"77","randomized controlled trial","30566730"
"78","randomized controlled trial","30566442"
"79","randomized controlled trial","30562392"
"80","randomized controlled trial","30559838"
"81","randomized controlled trial","30557404"
"82","randomized controlled trial","30557397"
"83","randomized controlled trial","30557377"
"84","randomized controlled trial","30557350"
"85","randomized controlled trial","30557325"
"86","randomized controlled trial","30555484"
"87","randomized controlled trial","30543668"
"88","randomized controlled trial","30543665"
"89","randomized controlled trial","30543657"
"90","randomized controlled trial","30524424"
"91","randomized controlled trial","30540808"
"92","randomized controlled trial","30540772"
"93","randomized controlled trial","30540257"
"94","randomized controlled trial","30539170"
"95","randomized controlled trial","30538796"
"96","randomized controlled trial","30538429"
"97","randomized controlled trial","30532527"
"98","randomized controlled trial","30532522"
"99","randomized controlled trial","30532278"
"100","randomized controlled trial","30532205"
"101","randomized controlled trial","30532195"
"102","randomized controlled trial","30532180"
"103","randomized controlled trial","30532155"
"104","randomized controlled trial","30531779"
"105","randomized controlled trial","30531772"
"106","randomized controlled trial","30531133"
"107","randomized controlled trial","30526440"
"108","randomized controlled trial","30521639"
"109","randomized controlled trial","30521530"
"110","randomized controlled trial","30521521"
"111","randomized controlled trial","30519590"
"112","randomized controlled trial","30519577"
"113","randomized controlled trial","30507958"
"114","randomized controlled trial","30517164"
"115","randomized controlled trial","30517100"
"116","randomized controlled trial","30515484"
"117","randomized controlled trial","30515483"
"118","randomized controlled trial","30515482"
"119","randomized controlled trial","30515481"
"120","randomized controlled trial","30515480"
"121","randomized controlled trial","30515416"
"122","randomized controlled trial","30515164"
"123","randomized controlled trial","30513095"
"124","randomized controlled trial","30510410"
"125","randomized controlled trial","30499511"
"126","randomized controlled trial","30499484"
"127","randomized controlled trial","30499482"
"128","randomized controlled trial","30498835"
"129","randomized controlled trial","30498336"
"130","randomized controlled trial","30496299"
"131","randomized controlled trial","30485924"
"132","randomized controlled trial","30485923"
"133","randomized controlled trial","30485922"
"134","randomized controlled trial","30485853"
"135","randomized controlled trial","30485325"
"136","randomized controlled trial","30485297"
"137","randomized controlled trial","30481185"
"138","randomized controlled trial","30481183"
"139","randomized controlled trial","30476916"
"140","randomized controlled trial","30475912"
"141","randomized controlled trial","30475845"
"142","randomized controlled trial","30468408"
"143","randomized controlled trial","30464447"
"144","randomized controlled trial","30464446"
"145","randomized controlled trial","30464436"
"146","randomized controlled trial","30464430"
"147","randomized controlled trial","30464426"
"148","randomized controlled trial","30464411"
"149","randomized controlled trial","30464407"
"150","randomized controlled trial","30464392"
"151","randomized controlled trial","30462650"
"152","randomized controlled trial","30462260"
"153","randomized controlled trial","30460353"
"154","randomized controlled trial","30449754"
"155","randomized controlled trial","30449747"
"156","randomized controlled trial","30443174"
"157","randomized controlled trial","30440010"
"158","randomized controlled trial","30439998"
"159","randomized controlled trial","30439971"
"160","randomized controlled trial","30427948"
"161","randomized controlled trial","30427933"
"162","randomized controlled trial","30427894"
"163","randomized controlled trial","30427880"
"164","randomized controlled trial","30427829"
"165","randomized controlled trial","30425469"
"166","randomized controlled trial","30425466"
"167","randomized controlled trial","30425460"
"168","randomized controlled trial","30420969"
"169","randomized controlled trial","30420965"
"170","randomized controlled trial","30419066"
"171","randomized controlled trial","30419032"
"172","randomized controlled trial","30412630"
"173","randomized controlled trial","30412607"
"174","randomized controlled trial","30412606"
"175","randomized controlled trial","30412514"
"176","randomized controlled trial","30412513"
"177","randomized controlled trial","30412147"
"178","randomized controlled trial","30410934"
"179","randomized controlled trial","30408810"
"180","randomized controlled trial","30408788"
"181","randomized controlled trial","30408106"
"182","randomized controlled trial","30408073"
"183","randomized controlled trial","30403756"
"184","randomized controlled trial","30403730"
"185","randomized controlled trial","30402489"
"186","randomized controlled trial","30400122"
"187","randomized controlled trial","30400117"
"188","randomized controlled trial","30399477"
"189","randomized controlled trial","30399184"
"190","randomized controlled trial","30392496"
"191","randomized controlled trial","30390827"
"192","randomized controlled trial","30388182"
"193","randomized controlled trial","30388181"
"194","randomized controlled trial","30388160"
"195","randomized controlled trial","30388128"
"196","randomized controlled trial","30388112"
"197","randomized controlled trial","30386327"
"198","randomized controlled trial","30384375"
"199","randomized controlled trial","30383859"
"200","randomized controlled trial","30383531"
"201","randomized controlled trial","30381011"
"202","randomized controlled trial","30380535"
"203","randomized controlled trial","30380530"
"204","randomized controlled trial","30379942"
"205","randomized controlled trial","30379937"
"206","randomized controlled trial","30379936"
"207","randomized controlled trial","30379826"
"208","randomized controlled trial","30379815"
"209","randomized controlled trial","30379314"
"210","randomized controlled trial","30379308"
"211","randomized controlled trial","30379302"
"212","randomized controlled trial","30372693"
"213","randomized controlled trial","30372675"
"214","randomized controlled trial","30372482"
"215","randomized controlled trial","30368489"
"216","randomized controlled trial","30365798"
"217","randomized controlled trial","30364005"
"218","randomized controlled trial","30363954"
"219","randomized controlled trial","30362389"
"220","randomized controlled trial","30360748"
"221","randomized controlled trial","30359438"
"222","randomized controlled trial","30359369"
"223","randomized controlled trial","30356854"
"224","randomized controlled trial","30356442"
"225","randomized controlled trial","30356327"
"226","randomized controlled trial","30356245"
"227","randomized controlled trial","30356229"
"228","randomized controlled trial","30352059"
"229","randomized controlled trial","30352054"
"230","randomized controlled trial","30351995"
"231","randomized controlled trial","30349585"
"232","randomized controlled trial","30349279"
"233","randomized controlled trial","30349198"
"234","randomized controlled trial","30349192"
"235","randomized controlled trial","30348912"
"236","randomized controlled trial","30348353"
"237","randomized controlled trial","30346977"
"238","randomized controlled trial","30346878"
"239","randomized controlled trial","30345312"
"240","randomized controlled trial","30345306"
"241","randomized controlled trial","30345030"
"242","randomized controlled trial","30344873"
"243","randomized controlled trial","30344863"
"244","randomized controlled trial","30344012"
"245","randomized controlled trial","30343301"
"246","randomized controlled trial","30341842"
"247","randomized controlled trial","30339669"
"248","randomized controlled trial","30337921"
"249","randomized controlled trial","30337510"
"250","randomized controlled trial","30335070"
"251","randomized controlled trial","30332482"
"252","randomized controlled trial","30332407"
"253","randomized controlled trial","30326808"
"254","randomized controlled trial","30326480"
"255","randomized controlled trial","30325939"
"256","randomized controlled trial","30325931"
"257","randomized controlled trial","30325721"
"258","randomized controlled trial","30325117"
"259","randomized controlled trial","30323581"
"260","randomized controlled trial","30321224"
"261","randomized controlled trial","30321201"
"262","randomized controlled trial","30320574"
"263","randomized controlled trial","30320566"
"264","randomized controlled trial","30320138"
"265","randomized controlled trial","30319663"
"266","randomized controlled trial","30319652"
"267","randomized controlled trial","30318066"
"268","randomized controlled trial","30318065"
"269","randomized controlled trial","30317965"
"270","randomized controlled trial","30312327"
"271","randomized controlled trial","30312310"
"272","randomized controlled trial","30312309"
"273","randomized controlled trial","30310273"
"274","randomized controlled trial","30308004"
"275","randomized controlled trial","30307991"
"276","randomized controlled trial","30307986"
"277","randomized controlled trial","30307966"
"278","randomized controlled trial","30307958"
"279","randomized controlled trial","30307957"
"280","randomized controlled trial","30307945"
"281","randomized controlled trial","30307416"
"282","randomized controlled trial","30306951"
"283","randomized controlled trial","30304714"
"284","randomized controlled trial","30304047"
"285","randomized controlled trial","30304013"
"286","randomized controlled trial","30303980"
"287","randomized controlled trial","30303956"
"288","randomized controlled trial","30303421"
"289","randomized controlled trial","30300405"
"290","randomized controlled trial","30300378"
"291","randomized controlled trial","30300371"
"292","randomized controlled trial","30300367"
"293","randomized controlled trial","30300104"
"294","randomized controlled trial","30289950"
"295","randomized controlled trial","30289907"
"296","randomized controlled trial","30289357"
"297","randomized controlled trial","30286455"
"298","randomized controlled trial","30286145"
"299","randomized controlled trial","30286130"
"300","randomized controlled trial","30282861"
"301","randomized controlled trial","30282858"
"302","randomized controlled trial","30282375"
"303","randomized controlled trial","30282338"
"304","randomized controlled trial","30281025"
"305","randomized controlled trial","30280670"
"306","randomized controlled trial","30278067"
"307","randomized controlled trial","30276208"
"308","randomized controlled trial","30275753"
"309","randomized controlled trial","30275690"
"310","randomized controlled trial","30272850"
"311","randomized controlled trial","30272844"
"312","randomized controlled trial","30272098"
"313","randomized controlled trial","30272096"
"314","randomized controlled trial","30272094"
"315","randomized controlled trial","30272088"
"316","randomized controlled trial","30271161"
"317","randomized controlled trial","30271133"
"318","randomized controlled trial","30271132"
"319","randomized controlled trial","30269148"
"320","randomized controlled trial","30267308"
"321","randomized controlled trial","30264056"
"322","randomized controlled trial","30260990"
"323","randomized controlled trial","30260984"
"324","randomized controlled trial","30258440"
"325","randomized controlled trial","30257783"
"326","randomized controlled trial","30257756"
"327","randomized controlled trial","30257178"
"328","randomized controlled trial","30256811"
"329","randomized controlled trial","30256805"
"330","randomized controlled trial","30256784"
"331","randomized controlled trial","30253405"
"332","randomized controlled trial","30253403"
"333","randomized controlled trial","30252913"
"334","randomized controlled trial","30252895"
"335","randomized controlled trial","30252845"
"336","randomized controlled trial","30251977"
"337","randomized controlled trial","30250631"
"338","randomized controlled trial","30250407"
"339","randomized controlled trial","30249417"
"340","randomized controlled trial","30248152"
"341","randomized controlled trial","30248102"
"342","randomized controlled trial","30248056"
"343","randomized controlled trial","30248052"
"344","randomized controlled trial","30248030"
"345","randomized controlled trial","30246187"
"346","randomized controlled trial","30246186"
"347","randomized controlled trial","30246185"
"348","randomized controlled trial","30246184"
"349","randomized controlled trial","30246183"
"350","randomized controlled trial","30246016"
"351","randomized controlled trial","30245755"
"352","randomized controlled trial","30245169"
"353","randomized controlled trial","30242825"
