"","pubmed_label","pmid"
"1","systematic_review","31844836"
"2","systematic_review","31489176"
"3","systematic_review","31281635"
"4","systematic_review","31249668"
"5","systematic_review","30894873"
"6","systematic_review","30854470"
"7","systematic_review","30828428"
"8","systematic_review","30815193"
"9","systematic_review","30806281"
"10","systematic_review","30800285"
"11","systematic_review","30766600"
"12","systematic_review","30727868"
"13","systematic_review","30719437"
"14","systematic_review","30710471"
"15","systematic_review","30698569"
"16","systematic_review","30693288"
"17","systematic_review","30693023"
"18","systematic_review","30687736"
"19","systematic_review","30671477"
"20","systematic_review","30668210"
"21","systematic_review","30664443"
"22","systematic_review","30663550"
"23","systematic_review","30662912"
"24","systematic_review","30652030"
"25","systematic_review","30648108"
"26","systematic_review","30643818"
"27","systematic_review","30643797"
"28","systematic_review","30638348"
"29","systematic_review","30631440"
"30","systematic_review","30631593"
"31","systematic_review","30631437"
"32","systematic_review","30630321"
"33","systematic_review","30627549"
"34","systematic_review","30627062"
"35","systematic_review","30622967"
"36","systematic_review","30622957"
"37","systematic_review","30619323"
"38","systematic_review","30612461"
"39","systematic_review","30605439"
"40","systematic_review","30598708"
"41","systematic_review","30596754"
"42","systematic_review","30596732"
"43","systematic_review","30596096"
"44","systematic_review","30596092"
"45","systematic_review","30592741"
"46","systematic_review","30592739"
"47","systematic_review","30586451"
"48","systematic_review","30586435"
"49","systematic_review","30586389"
"50","systematic_review","30582407"
"51","systematic_review","30581511"
"52","systematic_review","30580867"
"53","systematic_review","30574604"
"54","systematic_review","30571792"
"55","systematic_review","30571754"
"56","systematic_review","30566740"
"57","systematic_review","30566527"
"58","systematic_review","30564795"
"59","systematic_review","30564794"
"60","systematic_review","30562746"
"61","systematic_review","30562387"
"62","systematic_review","30557396"
"63","systematic_review","30557392"
"64","systematic_review","30557381"
"65","systematic_review","30557311"
"66","systematic_review","30555465"
"67","systematic_review","30550574"
"68","systematic_review","30548018"
"69","systematic_review","30543644"
"70","systematic_review","30540061"
