record_id,pmid,title,abstract,included,asreview_ranking
90,35983393,Evaluation of the Antinociceptive Action of Simvastatin in Mice.,"Statins are well-established agents for dyslipidemia and have successfully been used for the prevention of coronary artery diseases for a long time; this is attributed not only to their lipid-lowering action but also to their pleiotropic actions. Recently many pleiotropic actions of statins have been explored, but very few studies were done to explore statins' antinociceptive action; therefore, the current study was planned to evaluate the antinociceptive activity of Simvastatin in different pain models in mice. Antinociceptive activity of Simvastatin was evaluated by using Eddy's hot plate method (central analgesic model), acetic acid-induced writhing method (peripheral analgesic model), and biphasic formalin-induced paw licking method. Twenty-four mice were divided into four groups (n = 6 in each): Vehicle control group, simvastatin 5mg/kg, simvastatin 20mg/kg, and positive control group. In the hot plate method, as compared to the vehicle control group, Simvastatin 20mg/kg group showed a significant rise in the reaction time to the corresponding time interval (p<0.001). While the simvastatin 5mg/kg group did not show any significant analgesic activity in the hot plate test. In the acetic acid writhing method, both test groups show a significant delay in the onset of writhing and a decrease in the number of writhes as compared to the vehicle control group (P<0.001). While in the formalin test, both groups show dose-dependent analgesic activity in both the early and late phases. Simvastatin exhibits analgesic activity in both central as well as peripheral models of analgesia, but central analgesia shows only at higher concentrations. Similarly, it inhibits inflammatory pain more predominantly than neurogenic, and hence simvastatin can be used in inflammatory conditions like rheumatoid arthritis and osteoarthritis particularly when there is coexisting dyslipidemia.",1,1
1832,35967808,Regular exercise combined with ferulic acid exhibits antiobesity effect and regulates metabolic profiles in high-fat diet-induced mice.,"Exercise (Ex) has been recognized as an effective way of obesity prevention, but it shows a dual effect on the body's antioxidant system. Ferulic acid (FA) is a kind of phenolic acid with well-known antioxidant capacity and numerous health benefits. Therefore, the aim of the study was to compare the antiobesity effect of Ex, FA, and Ex combined with FA (Ex-FA) in vivo and to illustrate the potential mechanisms. Mice were fed a high-fat diet (HFD) with or without administration of Ex, FA, and Ex-FA for 13 weeks. The body weight, antioxidant ability, Ex performance, and lipid profiles in the serum, liver, and skeletal muscle were compared among the groups, and serum metabolomics analysis was conducted. The results showed that Ex, FA, and Ex-FA exhibited a similar effect on body weight management. Ex had a more beneficial function by alleviating HFD-induced dyslipidemia than FA, while FA exerted a more efficient effect in mitigating lipid deposition in the liver and skeletal muscle. Ex-FA showed comprehensive effects in the regulation of the lipid contents in serum, liver, and skeletal muscle, and provoked enhancement effects on antioxidant ability and Ex capacity. Mice administered with Ex, FA, and Ex-FA showed different metabolic profiles, which might be achieved through different metabolic pathways. The findings of this research implied that Ex coupled with FA could become an effective and safe remedy for the management of dietary-induced obesity.",1,2
1829,35967811,Importance of Dendrobium officinale in improving the adverse effects of high-fat diet on mice associated with intestinal contents microbiota.,"A growing body of evidence suggests that the disturbance of intestinal microbiota induced by high-fat diet is the main factor causing many diseases. Dendrobium officinale (DO), a medicinal and edible homologous Chinese herbal medicine, plays essential role in regulating intestinal microbiota. However, the extent of DO on the intestinal contents microbiota in mice fed with a high-fat diet still remains unclear. Therefore, this study explored the role of intestinal contents microbiota in the regulation of adverse effects caused by high-fat diet by DO from the perspective of intestinal microecology. Twenty-four mice were randomly distributed into the normal saline-treated basal diet (bcn), normal saline-treated high-fat diet (bmn), 2.37 g kg-1 days-1 DO traditional decoction-treated high-fat diet (bdn) and 1.19 g kg-1 days-1 lipid-lowering decoction-treated high-fat diet (bjn) groups for 40 days. Subsequently, we assessed the changes in body weight, serum total cholesterol (TC), total triacylglycerol (TG), low density lipoprotein-cholesterol (LDL-C), high density lipoprotein-cholesterol (HDL-C) levels, and the characteristics of intestinal contents microbiota. Results demonstrated that DO exerted the modulating effect on the changes in body weight, TG, TC, LDL-C, and HDL-C levels. Besides, DO decreased the richness and diversity of intestinal contents microbiota, and altered the structure as a whole. Dominant bacteria, Ruminococcus and Oscillospira, varied significantly and statistically. Moreover, DO influenced the carbohydrate, amino acid, and energy metabolic functions. Furthermore, Ruminococcus and Oscillospira presented varying degrees of inhibition/promotion of TG, TC, LDL-C, and HDL-C. Consequently, we hypothesized that Ruminococcus and Oscillospira, as dominant bacteria, played key roles in the treatment of diseases associated with a high-fat diet DO.",1,3
1842,35967798,Effects of phytosterols' intake on systemic and tissue-specific lipid metabolism in C57BL/6J mice.,"This study aimed to investigate the long-term effects of phytosterols (PS) intake on systemic and tissue-specific lipid metabolism in C57BL/6J mice. Healthy male C57BL/6J mice were randomly divided into control diet group (CS) and PS diet group (2% PS). After 28 weeks of continuous feeding, serums, livers, and lungs were collected for targeted free sterols quantification, biochemical tests, lipid profile detection, and RNA-seq analysis. Compared with the CS group, 2% PS supplementation significantly increased campesterol concentrations and its ratio to cholesterol in the serum, liver, and lung of mice, with cholestanol concentrations and its ratio to cholesterol decreased. Total cholesterol (TC) levels were reduced in the serum of the PS group (p < 0.05), with the triglyceride (TG) levels unchanged. In response to the decreased circulating cholesterol concentration, the expression of endogenous cholesterol synthesis genes was upregulated in the liver, but caused no obvious lipid accumulation and inflammatory cell infiltration. However, for peripheral tissues, long-term PS-fed mice exhibited diminished cholesterol synthesis, fatty acid transport, and oxidation in the lung. The results provided clear indication that 2% PS diet effectively reduced circulating TC levels in the healthy mice, with tissue-specific lipid metabolic regulation in the liver and the lung.",1,4
1821,35967819,The leaves of the seasoning plant Litsea cubeba inhibit the NLRP3 inflammasome and ameliorate dextran sulfate sodium-induced colitis in mice.,"The intracellular sensor NACHT, LRR, and PYD domain-containing protein 3 (NLRP3) inflammasome controls caspase-1 activity and the maturation and release of the cytokines interleukin (IL)-1β and IL-18. The NLRP3 inflammasome has attracted the attention of the pharmaceutical industry because it promotes the pathogenesis of many diseases, making it a promising target for drug development. Litsea cubeba (Lour.) is a plant traditionally used as a seasoning in Taiwan and in other Asian countries. In this study, we investigated the inhibitory activity of the leaves of L. cubeba against the NLRP3 inflammasome. We found that the ethanol extract of L. cubeba leaves (MLE) inhibited the NLRP3 inflammasome in macrophages by reducing caspase-1 activation and IL-1β secretion. MLE reduced pyroptosis in macrophages and inhibited the release of NLRP3 and apoptosis-associated speck-like protein containing a CARD (ASC). In a mechanistic study, MLE reduced mitochondrial reactive oxygen species (ROS) production and preserved mitochondrial integrity, which led to reduced mitochondrial DNA release into the cytosol. MLE did not reduce the expression levels of NLRP3, IL-1β precursor or TNF-α in lipopolysaccharide (LPS)-activated macrophages. These results indicated that MLE inhibited the NLRP3 inflammasome by suppressing the activation signals of the NLRP3 inflammasome but not by reducing the priming signal induced by LPS. In addition, oral administration of MLE (20-80 mg/kg) ameliorated dextran sulfate sodium (DSS)-induced colitis in a mouse model. Notably, mice that received MLE (1 and 2 g/kg) daily for 7 days did not exhibit visible side effects. Gas chromatography-mass spectrometry (GC-MS) analysis found that α-Terpinyl acetate (27.2%) and 1,8-Cineole (17.7%) were the major compounds in MLE. These results indicated that L. cubeba leaves have the potential to be a nutraceutical for preventing and improving NLRP3 inflammasome-related diseases.",1,5
1845,35967795,"Flavonoids from Lycium barbarum leaves attenuate obesity through modulating glycolipid levels, oxidative stress, and gut bacterial composition in high-fat diet-fed mice.","Traditional herbal therapy made from Lycium barbarum leaves has been said to be effective in treating metabolic diseases, while its exact processes are yet unknown. Natural flavonoids are considered as a secure and reliable method for treating obesity. We thus made an effort to investigate the processes by which flavonoids from L. barbarum leaves (LBLF) reduce obesity. To assess the effectiveness of the intervention following intragastric injection of various dosages of LBLF (50, 100, and 200 mg/kg⋅bw), obese model mice developed via a high-fat diet were utilized. Treatment for LBLF may decrease body weight gain, Lee's index, serum lipids levels, oxidative stress levels, and hepatic lipids levels. It may also enhance fecal lipids excretion and improve glucose tolerance. Additionally, LBLF therapy significantly restored gut dysfunction brought on by a high-fat diet by boosting gut bacterial diversities and altering the composition of the gut bacterial community by elevating probiotics and reducing harmful bacteria.",1,6
2100,35967418,Lactobacillus spp. act in synergy to attenuate splenomegaly and lymphadenopathy in lupus-prone MRL/lpr mice.,"Commensal bacteria and the immune system have a close and strong relationship that maintains a balance to control inflammation. Alterations of the microbiota, known as dysbiosis, can direct reactivity to self-antigens not only in the intestinal mucosa but also at the systemic level. Our laboratory previously reported gut dysbiosis, particularly lower abundance of bacteria in the family Lactobacillaceae, in lupus-prone MRL/lpr mice, a model of systemic autoimmunity. Restoring the microbiota with a mix of 5 different Lactobacillus species (spp.), L. reuteri, L. oris, L. johnsonii, L. gasseri and L. rhamnosus, attenuated lupus-liked clinical signs, including splenomegaly and lymphadenopathy. However, our understanding of the mechanism was limited. In this study, we first investigated the effects of individual species. Surprisingly, none of the species individually recapitulated the benefits of the mix. Instead, Lactobacillus spp. acted synergistically to attenuate splenomegaly and renal lymphadenopathy through secreted factors and a CX3CR1-dependent mechanism. Interestingly, oral administration of MRS broth exerted the same benefits likely through increasing the relative abundance of endogenous Lactobacillus spp. Mechanistically, we found increased percentages of FOXP3-negative type 1 regulatory T cells with administration of the mix in both spleen and mesenteric lymph nodes. In addition, oral gavage of Lactobacillus spp. decreased the percentage of central memory T cells while increasing that of effector memory T cells in the lymphoid organs. Furthermore, a decreased percentage of double negative T cells was observed in the spleen with the mix. These results suggest that Lactobacillus spp. might act on T cells to attenuate splenomegaly and lymphadenopathy. Together, this study advances our understanding of how Lactobacillus spp. attenuate lupus in MRL/lpr mice. The synergistic action of these bacteria suggests that multiple probiotic bacteria in combination may dampen systemic autoimmunity and benefit lupus patients.",1,7
1388,35969050,Characterizing Salmonella Typhimurium-induced Septic Peritonitis in Mice.,"Sepsis is a dysregulated host immune response to microbial invasion or tissue damage, leading to organ injury at a site distant from that of the infection or damage. Currently, the widely used mice models of sepsis include lipopolysaccharide (LPS)-induced endotoxemia, cecal ligation and puncture (CLP), and monobacterial infection model systems. This protocol describes a method to study the host responses during Salmonella Typhimurium infection-induced septic peritonitis in mice. S. Typhimurium, a Gram-negative intracellular pathogen, causes typhoid-like disease in mice. This protocol elaborates the culture preparation, induction of septic peritonitis in mice through intraperitoneal injection, and methods to study systemic host responses. Furthermore, the assessment of bacterial burden in different organs and the flow cytometric analysis of increased neutrophil numbers in the peritoneal lavage is presented. Salmonella Typhimurium-induced sepsis in mice leads to an increase in proinflammatory cytokines and rapid infiltration of neutrophils in the peritoneal cavity, leading to lower survival. Every step in this protocol has been optimized, resulting in high reproducibility of the pathogenesis of septic peritonitis. This model is useful for studying immunological responses during bacterial sepsis, the roles of different genes in disease progression, and the effects of drugs to attenuate sepsis.",1,8
1383,35969057,A Protocol for the Induction of Posttraumatic Stress-Disorder (PTSD)-like Behavior in Mice.,"Post-traumatic stress disorder (PTSD) is a debilitating psychiatric condition that precipitates in ~10% of individuals exposed to a traumatic event (TE). Symptoms include recurrent and intrusive thoughts, sleep disturbance, hypervigilance, exaggerated startle, and reckless or destructive behavior. Given the complex and heterogeneous nature of the disease, animal models for PTSD-like symptomatology are of increasing interest to the field of PTSD research. Because resilience to PTSD-like symptomatology is an important epidemiologic aspect of PTSD, animal models that resolve vulnerable and resilient animals are of particular value. Due to the complex nature of the PTSD phenotype and the potential overlaps between PTSD-like behavior and behaviors associated with other stress-induced psychopathologies such as anxiety or depression, animal models that utilize multiple readouts for PTSD-like behavior are also of increasing value. We utilize a paradigm developed by Lebow et al. 2012 for the induction and identification of PTSD-like symptomatology in mice. This paradigm utilizes inescapable electric foot shock, administered in two decontextualized sessions over two consecutive days. Stressed mice perform four behavioral tests - dark/light transfer, marble burying, acoustic startle, and home cage activity - to generate five behavioral readouts of PTSD-like behavior: % risk assessment (%RA), % marbles buried (%MB), % prepulse inhibition (%PPI), latency to peak startle amplitude (LPSA), and % light phase activity (%LPA). PTSD-like symptomatology is characterized by decreased %RA, increased %MB, decreased %PPI, decreased LPSA, and increased %LPA. The 20% of animals displaying the most PTSD-like behavior in each test are awarded a certain number of points depending on the test, and animals scoring sufficient points are designated as PTSD-like, while animals scoring no points are designated PTSD-resilient. This paradigm identifies PTSD-like behavior in ~15% of animals, a rate comparable to that observed in humans. This protocol represents a robust and reproducible paradigm for the induction of PTSD-like behavior in mice.",1,9
2460,35966798,Attenuation of HECT-E3 ligase expression rescued memory deficits in 3xTg-AD mice.,"Alzheimer's disease (AD) is one of the most common progressive neurodegenerative disorders that cause deterioration of cognitive functions. Recent studies suggested that the accumulation of inflammatory molecules and impaired protein degradation mechanisms might both play a critical role in the progression of AD. Autophagy is a major protein degradation pathway that can be controlled by several HECT-E3 ligases, which then regulates the expression of inflammatory molecules. E3 ubiquitin ligases are known to be upregulated in several neurodegenerative diseases. Here, we studied the expressional change of HECT-E3 ligase using M01 on autophagy and inflammasome pathways in the context of AD pathogenesis. Our results demonstrated that the M01 treatment reversed the working memory deficits in 3xTg-AD mice when examined with the T-maze and reversal learning with the Morris water maze. Additionally, the electrophysiology recordings indicated that M01 treatment enhanced the long-term potentiation in the hippocampus of 3xTg-AD mice. Together with the improved memory performance, the expression levels of the NLRP3 inflammasome protein were decreased. On the other hand, autophagy-related molecules were increased in the hippocampus of 3xTg-AD mice. Furthermore, the protein docking analysis indicated that the binding affinity of M01 to the WWP1 and NEDD4 E3 ligases was the highest among the HECT family members. The western blot analysis also confirmed the decreased expression level of NEDD4 protein in the M01-treated 3xTg-AD mice. Overall, our results demonstrate that the modulation of HECT-E3 ligase expression level can be used as a strategy to treat early memory deficits in AD by decreasing NLRP3 inflammasome molecules and increasing the autophagy pathway.",1,10
